Profile Summary
Generated on: 2022-01-15 18:42:45
Msec since Epoch: 1642290165335
Profiled application: host
Target platform: Xilinx
Tool version: 2021.1
XRT build version: 2.11.634
Build version branch: 2021.1
Build version hash: 5ad5998d67080f00bca5bf15b3838cf35e0a7b26
Build version date: N/A
Target devices: 
Flow mode: System Run

OpenCL API Calls
API Name,Number Of Calls,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),
clCreateBuffer,262647,7206.19,0.009214,0.0274368,6.54096,
clCreateCommandQueue,1,0.008153,0.008153,0.008153,0.008153,
clCreateContext,1,42.7158,42.7158,42.7158,42.7158,
clCreateKernel,1,21.4495,21.4495,21.4495,21.4495,
clCreateProgramWithBinary,1,256.078,256.078,256.078,256.078,
clEnqueueMigrateMemObjects,43773,355.808,0.002481,0.00812848,0.407954,
clEnqueueTask,43773,3766.03,0.02858,0.0860354,20.4492,
clFinish,43773,49537.4,0.035255,1.13169,9.86898,
clGetDeviceIDs,5,0.095877,0.00183,0.0191754,0.077694,
clGetDeviceInfo,2,18.538,0.002642,9.26902,18.5354,
clGetExtensionFunctionAddress,2,0.04445,0.006093,0.022225,0.038357,
clGetExtensionFunctionAddressForPlatform,2,0.018966,0.002296,0.009483,0.01667,
clGetPlatformInfo,6,0.013925,0.00119,0.00232083,0.00555,
clReleaseCommandQueue,1,0.008793,0.008793,0.008793,0.008793,
clReleaseContext,1,47.0638,47.0638,47.0638,47.0638,
clReleaseDevice,5,0.013913,0.00092,0.0027826,0.004465,
clReleaseKernel,1,4.0968,4.0968,4.0968,4.0968,
clReleaseMemObject,350193,874.58,0.000688,0.00249742,7.42435,
clReleaseProgram,1,0.002329,0.002329,0.002329,0.002329,
clRetainDevice,5,0.014393,0.000873,0.0028786,0.007006,
clRetainMemObject,87546,244.478,0.000715,0.00279257,1.73568,
clSetKernelArg,262647,2510.42,0.000735,0.00955817,8.00666,

Kernel Execution
Kernel,Number Of Enqueues,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),
DGN_compute_one_graph,43773,37462.6,0.420723,0.855838,9.44716,

Top Kernel Execution
Kernel Instance Address,Kernel,Context ID,Command Queue ID,Device,Start Time (ms),Duration (ms),Global Work Size,Local Work Size,
94552087383168,DGN_compute_one_graph,0,0,xilinx_u50_gen3x16_xdma_201920_3-0,209174,9.44716,1:1:1,1:1:1,
94552087383168,DGN_compute_one_graph,0,0,xilinx_u50_gen3x16_xdma_201920_3-0,119575,3.71096,1:1:1,1:1:1,
94552087383168,DGN_compute_one_graph,0,0,xilinx_u50_gen3x16_xdma_201920_3-0,80037.3,3.64064,1:1:1,1:1:1,
94552087383168,DGN_compute_one_graph,0,0,xilinx_u50_gen3x16_xdma_201920_3-0,197176,3.43681,1:1:1,1:1:1,
94552087383168,DGN_compute_one_graph,0,0,xilinx_u50_gen3x16_xdma_201920_3-0,210550,3.41418,1:1:1,1:1:1,
94552087383168,DGN_compute_one_graph,0,0,xilinx_u50_gen3x16_xdma_201920_3-0,161524,3.29254,1:1:1,1:1:1,
94552087383168,DGN_compute_one_graph,0,0,xilinx_u50_gen3x16_xdma_201920_3-0,71091.2,3.19399,1:1:1,1:1:1,
94552087383168,DGN_compute_one_graph,0,0,xilinx_u50_gen3x16_xdma_201920_3-0,142312,3.17581,1:1:1,1:1:1,
94552087383168,DGN_compute_one_graph,0,0,xilinx_u50_gen3x16_xdma_201920_3-0,153671,3.15959,1:1:1,1:1:1,
94552087383168,DGN_compute_one_graph,0,0,xilinx_u50_gen3x16_xdma_201920_3-0,210561,3.04002,1:1:1,1:1:1,

Top Memory Writes: Host to Global Memory
Buffer Address,Context ID,Command Queue ID,Start Time (ms),Duration (ms),Buffer Size (KB),Writing Rate(MB/s),
843776,0,0,11307.2,5.64954,2.352,13.2877,
819200,0,0,163144,4.59919,2.36,10.8541,
831488,0,0,211515,3.97194,1.936,7.68968,
843776,0,0,99789.4,2.98029,1.46,4.35123,
831488,0,0,218337,2.53619,2.088,5.29555,
839680,0,0,190507,2.30304,1.876,4.3205,
843776,0,0,6565.83,1.70309,2.352,4.00568,
831488,0,0,219754,1.26177,1.248,1.57469,
819200,0,0,189736,1.21975,1.944,2.3712,
819200,0,0,39537.7,1.17986,1.392,1.64237,

Top Memory Reads: Host to Global Memory
Buffer Address,Context ID,Command Queue ID,Start Time (ms),Duration (ms),Buffer Size (KB),Reading Rate(MB/s),
823296,0,0,9906.62,4.65528,0.004,0.0186211,
847872,0,0,2343.13,3.71475,0.004,0.014859,
847872,0,0,7376.28,2.91111,0.004,0.0116444,
847872,0,0,40791.4,2.27911,0.004,0.00911646,
847872,0,0,9004.71,0.67519,0.004,0.00270076,
823296,0,0,75703.9,0.43234,0.004,0.00172936,
847872,0,0,160867,0.399907,0.004,0.00159963,
847872,0,0,195826,0.35453,0.004,0.00141812,
847872,0,0,126801,0.32072,0.004,0.00128288,
847872,0,0,27283.2,0.172297,0.004,0.000689188,



Guidance Parameters
Parameter,Element,Value,
MIGRATE_MEM,host,43773,
PLRAM_DEVICE,all,0,
HBM_DEVICE,all,0,
KDMA_DEVICE,all,0,
P2P_DEVICE,all,0,
P2P_HOST_TRANSFERS,host,0,
OBJECTS_RELEASED,all,1,
CU_CONTEXT_EN,all,0,
TRACE_MEMORY,all,FIFO,
MAX_PARALLEL_KERNEL_ENQUEUES,DGN_compute_one_graph,1,
COMMAND_QUEUE_OOO,94552079781840,0,
KERNEL_BUFFER_INFO,DGN_compute_one_graph|out_r|HBM[0]|1,4,
KERNEL_BUFFER_INFO,DGN_compute_one_graph|node_feature_in|HBM[0]|1,1188,
KERNEL_BUFFER_INFO,DGN_compute_one_graph|node_eigen_in|HBM[0]|1,528,
KERNEL_BUFFER_INFO,DGN_compute_one_graph|degree_table|HBM[0]|1,264,
KERNEL_BUFFER_INFO,DGN_compute_one_graph|neighbor_table|HBM[0]|1,288,
KERNEL_BUFFER_INFO,DGN_compute_one_graph|graph_attr|HBM[0]|1,12,
KERNEL_BUFFER_INFO,DGN_compute_one_graph|embedding_h_atom_embedding_list_weights_in|HBM[0]|1,428400,
KERNEL_BUFFER_INFO,DGN_compute_one_graph|layers_posttrans_fully_connected_0_linear_weight_in|HBM[0]|1,320000,
KERNEL_BUFFER_INFO,DGN_compute_one_graph|layers_posttrans_fully_connected_0_linear_bias_in|HBM[0]|1,1600,
KERNEL_BUFFER_INFO,DGN_compute_one_graph|MLP_layer_FC_layers_0_weight_in|HBM[0]|1,20000,
KERNEL_BUFFER_INFO,DGN_compute_one_graph|MLP_layer_FC_layers_0_bias_in|HBM[0]|1,200,
KERNEL_BUFFER_INFO,DGN_compute_one_graph|MLP_layer_FC_layers_1_weight_in|HBM[0]|1,5000,
KERNEL_BUFFER_INFO,DGN_compute_one_graph|MLP_layer_FC_layers_1_bias_in|HBM[0]|1,100,
KERNEL_BUFFER_INFO,DGN_compute_one_graph|MLP_layer_FC_layers_2_weight_in|HBM[0]|1,100,
KERNEL_BUFFER_INFO,DGN_compute_one_graph|MLP_layer_FC_layers_2_bias_in|HBM[0]|1,4,
XRT_INI_SETTING,profile,0,
XRT_INI_SETTING,opencl_summary,1,
XRT_INI_SETTING,opencl_device_counter,0,
XRT_INI_SETTING,timeline_trace,0,
XRT_INI_SETTING,opencl_trace,1,
XRT_INI_SETTING,xrt_trace,0,
XRT_INI_SETTING,native_xrt_trace,0,
XRT_INI_SETTING,xrt_profile,0,
XRT_INI_SETTING,data_transfer_trace,off,
XRT_INI_SETTING,power_profile,0,
XRT_INI_SETTING,power_profile_interval_ms,20,
XRT_INI_SETTING,stall_trace,off,
XRT_INI_SETTING,trace_buffer_size,1M,
XRT_INI_SETTING,verbosity,4,
XRT_INI_SETTING,continuous_trace,0,
XRT_INI_SETTING,continuous_trace_interval_ms,10,
XRT_INI_SETTING,trace_buffer_offload_interval_ms,10,
XRT_INI_SETTING,trace_file_dump_interval_s,5,
XRT_INI_SETTING,lop_trace,0,
XRT_INI_SETTING,debug_mode,batch,
XRT_INI_SETTING,aie_trace,0,
XRT_INI_SETTING,aie_trace_buffer_size,8M,
XRT_INI_SETTING,aie_trace_metrics,functions,
XRT_INI_SETTING,aie_profile,0,
XRT_INI_SETTING,aie_profile_interval_us,1000,
XRT_INI_SETTING,aie_profile_core_metrics,heat_map,
XRT_INI_SETTING,aie_profile_memory_metrics,dma_locks,
XRT_INI_SETTING,vitis_ai_profile,0,
XRT_INI_SETTING,sc_profile,0,
BUFFER_RD_ACTIVE_TIME_MS,all,3586.84,
BUFFER_WR_ACTIVE_TIME_MS,all,7236.03,
BUFFER_TX_ACTIVE_TIME_MS,all,223342,
APPLICATION_RUN_TIME_MS,all,231513,
TOTAL_KERNEL_RUN_TIME_MS,all,0,
