Profile Summary
Generated on: 2021-12-21 00:43:34
Msec since Epoch: 1640065414796
Profiled application: host
Target platform: Xilinx
Tool version: 2021.1
XRT build version: 2.11.634
Build version branch: 2021.1
Build version hash: 5ad5998d67080f00bca5bf15b3838cf35e0a7b26
Build version date: N/A
Target devices: 
Flow mode: System Run

OpenCL API Calls
API Name,Number Of Calls,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),
clCreateBuffer,16458,527.825,0.010882,0.032071,2.01842,
clCreateCommandQueue,1,0.009196,0.009196,0.009196,0.009196,
clCreateContext,1,46.7832,46.7832,46.7832,46.7832,
clCreateKernel,1,12.0845,12.0845,12.0845,12.0845,
clCreateProgramWithBinary,1,131.157,131.157,131.157,131.157,
clEnqueueMigrateMemObjects,4113,33.833,0.003171,0.00822587,0.050675,
clEnqueueTask,4113,306.628,0.033516,0.074551,22.542,
clFinish,4113,5563.11,0.54326,1.35257,23.7573,
clGetDeviceIDs,5,0.092079,0.001893,0.0184158,0.075059,
clGetDeviceInfo,2,18.5218,0.003103,9.2609,18.5187,
clGetExtensionFunctionAddress,2,0.045866,0.006079,0.022933,0.039787,
clGetExtensionFunctionAddressForPlatform,2,0.01698,0.002383,0.00849,0.014597,
clGetPlatformInfo,6,0.015078,0.001223,0.002513,0.005427,
clReleaseCommandQueue,1,0.005847,0.005847,0.005847,0.005847,
clReleaseContext,1,60.5462,60.5462,60.5462,60.5462,
clReleaseDevice,5,0.028269,0.001244,0.0056538,0.018243,
clReleaseKernel,1,3.95491,3.95491,3.95491,3.95491,
clReleaseMemObject,24684,65.715,0.000796,0.00266225,0.380703,
clReleaseProgram,1,0.003102,0.003102,0.003102,0.003102,
clRetainDevice,5,0.014468,0.000889,0.0028936,0.007581,
clRetainMemObject,8226,24.4473,0.000884,0.00297195,0.043496,
clSetKernelArg,16458,184.888,0.000978,0.0112339,3.55237,

Kernel Execution
Kernel,Number Of Enqueues,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),
GAT_compute_one_graph,4113,4344.49,0.328509,1.05628,23.3883,

Top Kernel Execution
Kernel Instance Address,Kernel,Context ID,Command Queue ID,Device,Start Time (ms),Duration (ms),Global Work Size,Local Work Size,
94324969400832,GAT_compute_one_graph,0,0,xilinx_u50_gen3x16_xdma_201920_3-0,6102.65,23.3883,1:1:1,1:1:1,
94324969400832,GAT_compute_one_graph,0,0,xilinx_u50_gen3x16_xdma_201920_3-0,6129.48,12.5522,1:1:1,1:1:1,
94324969400832,GAT_compute_one_graph,0,0,xilinx_u50_gen3x16_xdma_201920_3-0,2161,11.0739,1:1:1,1:1:1,
94324969400832,GAT_compute_one_graph,0,0,xilinx_u50_gen3x16_xdma_201920_3-0,5042.19,10.3902,1:1:1,1:1:1,
94324969400832,GAT_compute_one_graph,0,0,xilinx_u50_gen3x16_xdma_201920_3-0,6982.82,10.2648,1:1:1,1:1:1,
94324969400832,GAT_compute_one_graph,0,0,xilinx_u50_gen3x16_xdma_201920_3-0,8409.68,9.21745,1:1:1,1:1:1,
94324969400832,GAT_compute_one_graph,0,0,xilinx_u50_gen3x16_xdma_201920_3-0,11763,8.72136,1:1:1,1:1:1,
94324969400832,GAT_compute_one_graph,0,0,xilinx_u50_gen3x16_xdma_201920_3-0,10561.3,8.70674,1:1:1,1:1:1,
94324969400832,GAT_compute_one_graph,0,0,xilinx_u50_gen3x16_xdma_201920_3-0,14870.4,8.44464,1:1:1,1:1:1,
94324969400832,GAT_compute_one_graph,0,0,xilinx_u50_gen3x16_xdma_201920_3-0,14892.9,7.77943,1:1:1,1:1:1,

Top Memory Writes: Host to Global Memory
Buffer Address,Context ID,Command Queue ID,Start Time (ms),Duration (ms),Buffer Size (KB),Writing Rate(MB/s),
217088,0,0,5392.79,0.566894,11.216,6.35828,
217088,0,0,6076.59,0.422038,11.216,4.73358,
217088,0,0,10098.5,0.407128,11.216,4.56635,
98304,0,0,413.41,0.275597,177.684,48.9692,
196608,0,0,15473.7,0.271837,11.216,3.04892,
196608,0,0,6702.14,0.265947,11.216,2.98286,
217088,0,0,12522.3,0.236241,11.216,2.64968,
217088,0,0,6497.7,0.235734,11.216,2.64399,
196608,0,0,7423.41,0.219165,11.216,2.45815,
196608,0,0,14859.3,0.215871,11.216,2.42121,

Top Memory Reads: Host to Global Memory
Buffer Address,Context ID,Command Queue ID,Start Time (ms),Duration (ms),Buffer Size (KB),Reading Rate(MB/s),
217088,0,0,5394.2,0.317309,0.004,0.00126924,
196608,0,0,414.751,0.240324,0.004,0.000961296,
217088,0,0,8709.19,0.210854,0.004,0.000843416,
196608,0,0,6024.89,0.209908,0.004,0.000839632,
217088,0,0,8308.12,0.203361,0.004,0.000813444,
196608,0,0,3110.35,0.177685,0.004,0.00071074,
217088,0,0,16078.1,0.170151,0.004,0.000680604,
217088,0,0,8792.37,0.166721,0.004,0.000666884,
196608,0,0,6350.46,0.153958,0.004,0.000615832,
196608,0,0,14551.7,0.151985,0.004,0.00060794,



Guidance Parameters
Parameter,Element,Value,
MIGRATE_MEM,host,4113,
PLRAM_DEVICE,all,0,
HBM_DEVICE,all,0,
KDMA_DEVICE,all,0,
P2P_DEVICE,all,0,
P2P_HOST_TRANSFERS,host,0,
OBJECTS_RELEASED,all,1,
CU_CONTEXT_EN,all,0,
TRACE_MEMORY,all,FIFO,
MAX_PARALLEL_KERNEL_ENQUEUES,GAT_compute_one_graph,1,
COMMAND_QUEUE_OOO,94324969451840,0,
KERNEL_BUFFER_INFO,GAT_compute_one_graph|node_feature_in|HBM[0]|1,7200,
KERNEL_BUFFER_INFO,GAT_compute_one_graph|edge_list_in|HBM[0]|1,4000,
KERNEL_BUFFER_INFO,GAT_compute_one_graph|graph_attr|HBM[0]|1,12,
KERNEL_BUFFER_INFO,GAT_compute_one_graph|task_tb|HBM[0]|1,4,
KERNEL_BUFFER_INFO,GAT_compute_one_graph|graph_pred_linear_weight_fixed|HBM[0]|1,64,
KERNEL_BUFFER_INFO,GAT_compute_one_graph|graph_pred_linear_bias_fixed|HBM[0]|1,4,
KERNEL_BUFFER_INFO,GAT_compute_one_graph|gat_net_scoring_fn_target_fixed|HBM[0]|1,1280,
KERNEL_BUFFER_INFO,GAT_compute_one_graph|gat_net_scoring_fn_source_fixed|HBM[0]|1,1280,
KERNEL_BUFFER_INFO,GAT_compute_one_graph|gat_net_linear_proj_weight_fixed|HBM[0]|1,81920,
KERNEL_BUFFER_INFO,GAT_compute_one_graph|gat_net_skip_proj_weight_fixed|HBM[0]|1,81920,
XRT_INI_SETTING,profile,0,
XRT_INI_SETTING,opencl_summary,1,
XRT_INI_SETTING,opencl_device_counter,0,
XRT_INI_SETTING,timeline_trace,0,
XRT_INI_SETTING,opencl_trace,1,
XRT_INI_SETTING,xrt_trace,0,
XRT_INI_SETTING,native_xrt_trace,0,
XRT_INI_SETTING,xrt_profile,0,
XRT_INI_SETTING,data_transfer_trace,off,
XRT_INI_SETTING,power_profile,0,
XRT_INI_SETTING,power_profile_interval_ms,20,
XRT_INI_SETTING,stall_trace,off,
XRT_INI_SETTING,trace_buffer_size,1M,
XRT_INI_SETTING,verbosity,4,
XRT_INI_SETTING,continuous_trace,0,
XRT_INI_SETTING,continuous_trace_interval_ms,10,
XRT_INI_SETTING,trace_buffer_offload_interval_ms,10,
XRT_INI_SETTING,trace_file_dump_interval_s,5,
XRT_INI_SETTING,lop_trace,0,
XRT_INI_SETTING,debug_mode,batch,
XRT_INI_SETTING,aie_trace,0,
XRT_INI_SETTING,aie_trace_buffer_size,8M,
XRT_INI_SETTING,aie_trace_metrics,functions,
XRT_INI_SETTING,aie_profile,0,
XRT_INI_SETTING,aie_profile_interval_us,1000,
XRT_INI_SETTING,aie_profile_core_metrics,heat_map,
XRT_INI_SETTING,aie_profile_memory_metrics,dma_locks,
XRT_INI_SETTING,vitis_ai_profile,0,
XRT_INI_SETTING,sc_profile,0,
BUFFER_RD_ACTIVE_TIME_MS,all,376.994,
BUFFER_WR_ACTIVE_TIME_MS,all,604.707,
BUFFER_TX_ACTIVE_TIME_MS,all,15881.6,
APPLICATION_RUN_TIME_MS,all,17114.2,
TOTAL_KERNEL_RUN_TIME_MS,all,0,
