Profile Summary
Generated on: 2022-01-01 18:58:32
Msec since Epoch: 1641081512227
Profiled application: host
Target platform: Xilinx
Tool version: 2021.1
XRT build version: 2.11.634
Build version branch: 2021.1
Build version hash: 5ad5998d67080f00bca5bf15b3838cf35e0a7b26
Build version date: N/A
Target devices: 
Flow mode: System Run

OpenCL API Calls
API Name,Number Of Calls,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),
clCreateBuffer,20569,511.833,0.01078,0.0248837,0.641969,
clCreateCommandQueue,1,0.008874,0.008874,0.008874,0.008874,
clCreateContext,1,47.1516,47.1516,47.1516,47.1516,
clCreateKernel,1,13.8773,13.8773,13.8773,13.8773,
clCreateProgramWithBinary,1,149.872,149.872,149.872,149.872,
clEnqueueMigrateMemObjects,4112,29.1077,0.003026,0.00707873,0.05171,
clEnqueueTask,4112,280.614,0.031984,0.0682428,23.1013,
clFinish,4112,5654.14,0.740749,1.37503,8.40989,
clGetDeviceIDs,5,0.110867,0.00196,0.0221734,0.093634,
clGetDeviceInfo,2,16.0961,0.002691,8.04804,16.0934,
clGetExtensionFunctionAddress,2,0.048267,0.006003,0.0241335,0.042264,
clGetExtensionFunctionAddressForPlatform,2,0.018471,0.002604,0.0092355,0.015867,
clGetPlatformInfo,6,0.014217,0.001244,0.0023695,0.005327,
clReleaseCommandQueue,1,0.007147,0.007147,0.007147,0.007147,
clReleaseContext,1,74.5726,74.5726,74.5726,74.5726,
clReleaseDevice,5,0.013159,0.001178,0.0026318,0.004429,
clReleaseKernel,1,3.16163,3.16163,3.16163,3.16163,
clReleaseMemObject,28793,63.0188,0.000809,0.00218868,0.276161,
clReleaseProgram,1,0.003633,0.003633,0.003633,0.003633,
clRetainDevice,5,0.013498,0.001064,0.0026996,0.006268,
clRetainMemObject,8224,19.2038,0.000813,0.00233509,0.138468,
clSetKernelArg,20569,173.763,0.000887,0.00844782,4.30948,

Kernel Execution
Kernel,Number Of Enqueues,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),
GIN_compute_one_graph,4112,4766.87,0.577503,1.15926,5.38556,

Top Kernel Execution
Kernel Instance Address,Kernel,Context ID,Command Queue ID,Device,Start Time (ms),Duration (ms),Global Work Size,Local Work Size,
94804221701296,GIN_compute_one_graph,0,0,xilinx_u50_gen3x16_xdma_201920_3-0,5624.11,5.38556,1:1:1,1:1:1,
94804221701296,GIN_compute_one_graph,0,0,xilinx_u50_gen3x16_xdma_201920_3-0,5631.71,3.99366,1:1:1,1:1:1,
94804221701296,GIN_compute_one_graph,0,0,xilinx_u50_gen3x16_xdma_201920_3-0,2192.76,3.79601,1:1:1,1:1:1,
94804221701296,GIN_compute_one_graph,0,0,xilinx_u50_gen3x16_xdma_201920_3-0,4652.09,3.76037,1:1:1,1:1:1,
94804221701296,GIN_compute_one_graph,0,0,xilinx_u50_gen3x16_xdma_201920_3-0,6389.31,3.63542,1:1:1,1:1:1,
94804221701296,GIN_compute_one_graph,0,0,xilinx_u50_gen3x16_xdma_201920_3-0,7557.41,3.53342,1:1:1,1:1:1,
94804221701296,GIN_compute_one_graph,0,0,xilinx_u50_gen3x16_xdma_201920_3-0,13141.1,3.3739,1:1:1,1:1:1,
94804221701296,GIN_compute_one_graph,0,0,xilinx_u50_gen3x16_xdma_201920_3-0,10448.4,3.35367,1:1:1,1:1:1,
94804221701296,GIN_compute_one_graph,0,0,xilinx_u50_gen3x16_xdma_201920_3-0,9395.34,3.34838,1:1:1,1:1:1,
94804221701296,GIN_compute_one_graph,0,0,xilinx_u50_gen3x16_xdma_201920_3-0,13152.6,3.32369,1:1:1,1:1:1,

Top Memory Writes: Host to Global Memory
Buffer Address,Context ID,Command Queue ID,Start Time (ms),Duration (ms),Buffer Size (KB),Writing Rate(MB/s),
946176,0,0,10581.8,7.09587,17.216,122.162,
917504,0,0,743.111,0.33303,918.84,306.001,
946176,0,0,1969.92,0.282367,17.216,4.86123,
946176,0,0,12204.1,0.242677,17.216,4.17793,
946176,0,0,4528.79,0.1798,17.216,3.09544,
974848,0,0,2000.09,0.176427,17.216,3.03737,
974848,0,0,12708.7,0.175403,17.216,3.01974,
974848,0,0,1993.33,0.17397,17.216,2.99507,
974848,0,0,2035.11,0.173233,17.216,2.98238,
974848,0,0,1973.84,0.172367,17.216,2.96747,

Top Memory Reads: Host to Global Memory
Buffer Address,Context ID,Command Queue ID,Start Time (ms),Duration (ms),Buffer Size (KB),Reading Rate(MB/s),
946176,0,0,4131.89,0.340396,0.004,0.00136158,
946176,0,0,13997.7,0.29275,0.004,0.001171,
974848,0,0,12360.8,0.121647,0.004,0.000486588,
946176,0,0,11189.4,0.11563,0.004,0.00046252,
946176,0,0,2685.79,0.11217,0.004,0.00044868,
946176,0,0,11895,0.111023,0.004,0.000444092,
974848,0,0,3556.79,0.110297,0.004,0.000441188,
974848,0,0,2501.27,0.108727,0.004,0.000434908,
946176,0,0,14347.6,0.107637,0.004,0.000430548,
974848,0,0,2357.52,0.107447,0.004,0.000429788,



Guidance Parameters
Parameter,Element,Value,
MIGRATE_MEM,host,4112,
PLRAM_DEVICE,all,0,
HBM_DEVICE,all,0,
KDMA_DEVICE,all,0,
P2P_DEVICE,all,0,
P2P_HOST_TRANSFERS,host,0,
OBJECTS_RELEASED,all,1,
CU_CONTEXT_EN,all,0,
TRACE_MEMORY,all,FIFO,
MAX_PARALLEL_KERNEL_ENQUEUES,GIN_compute_one_graph,1,
COMMAND_QUEUE_OOO,94804221701056,0,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|node_feature_in|HBM[0]|1,7200,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|edge_list_in|HBM[0]|1,4000,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|edge_attr_in|HBM[0]|1,6000,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|graph_attr|HBM[0]|1,12,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|task_r|HBM[0]|1,4,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|gnn_node_mlp_1_weights_fixed|HBM[0]|1,400000,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|gnn_node_mlp_1_bias_fixed|HBM[0]|1,4000,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|gnn_node_mlp_2_weights_fixed|HBM[0]|1,400000,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|gnn_node_mlp_2_bias_fixed|HBM[0]|1,2000,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|gnn_node_embedding_fixed|HBM[0]|1,69200,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|gnn_edge_embedding_fixed|HBM[0]|1,26000,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|graph_pred_linear_weight_fixed|HBM[0]|1,400,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|graph_pred_linear_bias_fixed|HBM[0]|1,4,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|eps_fixed|HBM[0]|1,20,
XRT_INI_SETTING,profile,0,
XRT_INI_SETTING,opencl_summary,1,
XRT_INI_SETTING,opencl_device_counter,0,
XRT_INI_SETTING,timeline_trace,1,
XRT_INI_SETTING,opencl_trace,1,
XRT_INI_SETTING,xrt_trace,0,
XRT_INI_SETTING,native_xrt_trace,0,
XRT_INI_SETTING,xrt_profile,0,
XRT_INI_SETTING,data_transfer_trace,off,
XRT_INI_SETTING,power_profile,0,
XRT_INI_SETTING,power_profile_interval_ms,20,
XRT_INI_SETTING,stall_trace,off,
XRT_INI_SETTING,trace_buffer_size,1M,
XRT_INI_SETTING,verbosity,4,
XRT_INI_SETTING,continuous_trace,0,
XRT_INI_SETTING,continuous_trace_interval_ms,10,
XRT_INI_SETTING,trace_buffer_offload_interval_ms,10,
XRT_INI_SETTING,trace_file_dump_interval_s,5,
XRT_INI_SETTING,lop_trace,0,
XRT_INI_SETTING,debug_mode,batch,
XRT_INI_SETTING,aie_trace,0,
XRT_INI_SETTING,aie_trace_buffer_size,8M,
XRT_INI_SETTING,aie_trace_metrics,functions,
XRT_INI_SETTING,aie_profile,0,
XRT_INI_SETTING,aie_profile_interval_us,1000,
XRT_INI_SETTING,aie_profile_core_metrics,heat_map,
XRT_INI_SETTING,aie_profile_memory_metrics,dma_locks,
XRT_INI_SETTING,vitis_ai_profile,0,
XRT_INI_SETTING,sc_profile,0,
BUFFER_RD_ACTIVE_TIME_MS,all,238.815,
BUFFER_WR_ACTIVE_TIME_MS,all,507.155,
BUFFER_TX_ACTIVE_TIME_MS,all,13652.1,
APPLICATION_RUN_TIME_MS,all,16574.9,
TOTAL_KERNEL_RUN_TIME_MS,all,0,
