Profile Summary
Generated on: 2022-01-02 10:49:45
Msec since Epoch: 1641138585002
Profiled application: host
Target platform: Xilinx
Tool version: 2021.1
XRT build version: 2.11.634
Build version branch: 2021.1
Build version hash: 5ad5998d67080f00bca5bf15b3838cf35e0a7b26
Build version date: N/A
Target devices: 
Flow mode: System Run

OpenCL API Calls
API Name,Number Of Calls,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),
clCreateBuffer,20569,504.124,0.010817,0.0245089,1.02931,
clCreateCommandQueue,1,0.01198,0.01198,0.01198,0.01198,
clCreateContext,1,45.9116,45.9116,45.9116,45.9116,
clCreateKernel,1,19.253,19.253,19.253,19.253,
clCreateProgramWithBinary,1,198.381,198.381,198.381,198.381,
clEnqueueMigrateMemObjects,4112,31.4713,0.003269,0.00765353,0.063365,
clEnqueueTask,4112,284.159,0.031664,0.0691049,26.3632,
clFinish,4112,4436.83,0.592645,1.07899,4.76997,
clGetDeviceIDs,5,0.101926,0.001857,0.0203852,0.084123,
clGetDeviceInfo,2,17.9913,0.003713,8.99565,17.9876,
clGetExtensionFunctionAddress,2,0.046543,0.006117,0.0232715,0.040426,
clGetExtensionFunctionAddressForPlatform,2,0.014546,0.00263,0.007273,0.011916,
clGetPlatformInfo,6,0.015873,0.001193,0.0026455,0.006807,
clReleaseCommandQueue,1,0.00653,0.00653,0.00653,0.00653,
clReleaseContext,1,65.9323,65.9323,65.9323,65.9323,
clReleaseDevice,5,0.015367,0.00138,0.0030734,0.004747,
clReleaseKernel,1,3.09589,3.09589,3.09589,3.09589,
clReleaseMemObject,28793,61.3688,0.000838,0.00213138,0.27399,
clReleaseProgram,1,0.005473,0.005473,0.005473,0.005473,
clRetainDevice,5,0.014106,0.001061,0.0028212,0.006679,
clRetainMemObject,8224,21.1885,0.000829,0.00257643,0.163476,
clSetKernelArg,20569,172.433,0.000856,0.00838313,3.44862,

Kernel Execution
Kernel,Number Of Enqueues,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),
GIN_compute_one_graph,4112,3396.94,0.381093,0.826103,4.43139,

Top Kernel Execution
Kernel Instance Address,Kernel,Context ID,Command Queue ID,Device,Start Time (ms),Duration (ms),Global Work Size,Local Work Size,
94753926497408,GIN_compute_one_graph,0,0,xilinx_u50_gen3x16_xdma_201920_3-0,5283,4.43139,1:1:1,1:1:1,
94753926497408,GIN_compute_one_graph,0,0,xilinx_u50_gen3x16_xdma_201920_3-0,5289.88,2.793,1:1:1,1:1:1,
94753926497408,GIN_compute_one_graph,0,0,xilinx_u50_gen3x16_xdma_201920_3-0,5990.49,2.68325,1:1:1,1:1:1,
94753926497408,GIN_compute_one_graph,0,0,xilinx_u50_gen3x16_xdma_201920_3-0,4409.52,2.64306,1:1:1,1:1:1,
94753926497408,GIN_compute_one_graph,0,0,xilinx_u50_gen3x16_xdma_201920_3-0,808.143,2.57264,1:1:1,1:1:1,
94753926497408,GIN_compute_one_graph,0,0,xilinx_u50_gen3x16_xdma_201920_3-0,2152.04,2.53368,1:1:1,1:1:1,
94753926497408,GIN_compute_one_graph,0,0,xilinx_u50_gen3x16_xdma_201920_3-0,7097.63,2.41045,1:1:1,1:1:1,
94753926497408,GIN_compute_one_graph,0,0,xilinx_u50_gen3x16_xdma_201920_3-0,8785.63,2.38967,1:1:1,1:1:1,
94753926497408,GIN_compute_one_graph,0,0,xilinx_u50_gen3x16_xdma_201920_3-0,9763.43,2.38553,1:1:1,1:1:1,
94753926497408,GIN_compute_one_graph,0,0,xilinx_u50_gen3x16_xdma_201920_3-0,12172.2,2.30735,1:1:1,1:1:1,

Top Memory Writes: Host to Global Memory
Buffer Address,Context ID,Command Queue ID,Start Time (ms),Duration (ms),Buffer Size (KB),Writing Rate(MB/s),
917504,0,0,807.692,0.400867,918.84,368.333,
946176,0,0,6397.68,0.389667,17.216,6.70851,
974848,0,0,5706.86,0.371894,17.216,6.40253,
946176,0,0,8371.74,0.27996,17.216,4.81979,
946176,0,0,12910.8,0.22319,17.216,3.84244,
974848,0,0,10316.8,0.22249,17.216,3.83039,
974848,0,0,3172.85,0.207077,17.216,3.56504,
974848,0,0,11072.6,0.205514,17.216,3.53813,
974848,0,0,10811.7,0.20337,17.216,3.50122,
946176,0,0,11131.5,0.202524,17.216,3.48665,

Top Memory Reads: Host to Global Memory
Buffer Address,Context ID,Command Queue ID,Start Time (ms),Duration (ms),Buffer Size (KB),Reading Rate(MB/s),
974848,0,0,7502.25,0.267781,0.004,0.00107112,
974848,0,0,9188.15,0.141107,0.004,0.000564428,
946176,0,0,10188.3,0.130097,0.004,0.000520388,
974848,0,0,5211.73,0.129617,0.004,0.000518468,
974848,0,0,5253.76,0.129014,0.004,0.000516056,
946176,0,0,9089.67,0.12738,0.004,0.00050952,
974848,0,0,9233.75,0.126776,0.004,0.000507104,
974848,0,0,5352.23,0.12673,0.004,0.00050692,
946176,0,0,9576.51,0.126433,0.004,0.000505732,
946176,0,0,9237.08,0.12642,0.004,0.00050568,



Guidance Parameters
Parameter,Element,Value,
MIGRATE_MEM,host,4112,
PLRAM_DEVICE,all,0,
HBM_DEVICE,all,0,
KDMA_DEVICE,all,0,
P2P_DEVICE,all,0,
P2P_HOST_TRANSFERS,host,0,
OBJECTS_RELEASED,all,1,
CU_CONTEXT_EN,all,0,
TRACE_MEMORY,all,FIFO,
MAX_PARALLEL_KERNEL_ENQUEUES,GIN_compute_one_graph,1,
COMMAND_QUEUE_OOO,94753926491072,0,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|node_feature_in|HBM[0]|1,7200,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|edge_list_in|HBM[0]|1,4000,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|edge_attr_in|HBM[0]|1,6000,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|graph_attr|HBM[0]|1,12,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|task_r|HBM[0]|1,4,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|gnn_node_mlp_1_weights_fixed|HBM[0]|1,400000,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|gnn_node_mlp_1_bias_fixed|HBM[0]|1,4000,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|gnn_node_mlp_2_weights_fixed|HBM[0]|1,400000,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|gnn_node_mlp_2_bias_fixed|HBM[0]|1,2000,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|gnn_node_embedding_fixed|HBM[0]|1,69200,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|gnn_edge_embedding_fixed|HBM[0]|1,26000,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|graph_pred_linear_weight_fixed|HBM[0]|1,400,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|graph_pred_linear_bias_fixed|HBM[0]|1,4,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|eps_fixed|HBM[0]|1,20,
XRT_INI_SETTING,profile,0,
XRT_INI_SETTING,opencl_summary,1,
XRT_INI_SETTING,opencl_device_counter,0,
XRT_INI_SETTING,timeline_trace,1,
XRT_INI_SETTING,opencl_trace,1,
XRT_INI_SETTING,xrt_trace,0,
XRT_INI_SETTING,native_xrt_trace,0,
XRT_INI_SETTING,xrt_profile,0,
XRT_INI_SETTING,data_transfer_trace,off,
XRT_INI_SETTING,power_profile,0,
XRT_INI_SETTING,power_profile_interval_ms,20,
XRT_INI_SETTING,stall_trace,off,
XRT_INI_SETTING,trace_buffer_size,1M,
XRT_INI_SETTING,verbosity,4,
XRT_INI_SETTING,continuous_trace,0,
XRT_INI_SETTING,continuous_trace_interval_ms,10,
XRT_INI_SETTING,trace_buffer_offload_interval_ms,10,
XRT_INI_SETTING,trace_file_dump_interval_s,5,
XRT_INI_SETTING,lop_trace,0,
XRT_INI_SETTING,debug_mode,batch,
XRT_INI_SETTING,aie_trace,0,
XRT_INI_SETTING,aie_trace_buffer_size,8M,
XRT_INI_SETTING,aie_trace_metrics,functions,
XRT_INI_SETTING,aie_profile,0,
XRT_INI_SETTING,aie_profile_interval_us,1000,
XRT_INI_SETTING,aie_profile_core_metrics,heat_map,
XRT_INI_SETTING,aie_profile_memory_metrics,dma_locks,
XRT_INI_SETTING,vitis_ai_profile,0,
XRT_INI_SETTING,sc_profile,0,
BUFFER_RD_ACTIVE_TIME_MS,all,276.394,
BUFFER_WR_ACTIVE_TIME_MS,all,590.912,
BUFFER_TX_ACTIVE_TIME_MS,all,12495.1,
APPLICATION_RUN_TIME_MS,all,15782.5,
TOTAL_KERNEL_RUN_TIME_MS,all,0,
