Profile Summary
Generated on: 2022-01-01 19:00:15
Msec since Epoch: 1641081615041
Profiled application: host
Target platform: Xilinx
Tool version: 2021.1
XRT build version: 2.11.634
Build version branch: 2021.1
Build version hash: 5ad5998d67080f00bca5bf15b3838cf35e0a7b26
Build version date: N/A
Target devices: 
Flow mode: System Run

OpenCL API Calls
API Name,Number Of Calls,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),
clCreateBuffer,20569,570.79,0.010125,0.02775,0.6264,
clCreateCommandQueue,1,0.007151,0.007151,0.007151,0.007151,
clCreateContext,1,41.1022,41.1022,41.1022,41.1022,
clCreateKernel,1,25.7809,25.7809,25.7809,25.7809,
clCreateProgramWithBinary,1,242.872,242.872,242.872,242.872,
clEnqueueMigrateMemObjects,4112,34.6805,0.003528,0.00843399,0.041034,
clEnqueueTask,4112,305.403,0.034351,0.0742711,21.4115,
clFinish,4112,4048.8,0.551224,0.984629,3.7779,
clGetDeviceIDs,5,0.09947,0.001854,0.019894,0.08202,
clGetDeviceInfo,2,17.5144,0.002335,8.75721,17.5121,
clGetExtensionFunctionAddress,2,0.03945,0.00585,0.019725,0.0336,
clGetExtensionFunctionAddressForPlatform,2,0.015893,0.002403,0.0079465,0.01349,
clGetPlatformInfo,6,0.017704,0.00122,0.00295067,0.00879,
clReleaseCommandQueue,1,0.006513,0.006513,0.006513,0.006513,
clReleaseContext,1,59.2201,59.2201,59.2201,59.2201,
clReleaseDevice,5,0.012744,0.001145,0.0025488,0.004219,
clReleaseKernel,1,4.24313,4.24313,4.24313,4.24313,
clReleaseMemObject,28793,70.3098,0.000797,0.0024419,0.314704,
clReleaseProgram,1,0.00326,0.00326,0.00326,0.00326,
clRetainDevice,5,0.015591,0.00094,0.0031182,0.008096,
clRetainMemObject,8224,25.6361,0.000864,0.00311722,0.15825,
clSetKernelArg,20569,203.594,0.001233,0.0098981,5.48214,

Kernel Execution
Kernel,Number Of Enqueues,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),
GIN_compute_one_graph,4112,2966.16,0.363424,0.721343,3.54694,

Top Kernel Execution
Kernel Instance Address,Kernel,Context ID,Command Queue ID,Device,Start Time (ms),Duration (ms),Global Work Size,Local Work Size,
94130192387504,GIN_compute_one_graph,0,0,xilinx_u50_gen3x16_xdma_201920_3-0,3674.73,3.54694,1:1:1,1:1:1,
94130192387504,GIN_compute_one_graph,0,0,xilinx_u50_gen3x16_xdma_201920_3-0,871.025,2.28082,1:1:1,1:1:1,
94130192387504,GIN_compute_one_graph,0,0,xilinx_u50_gen3x16_xdma_201920_3-0,3679.54,2.23248,1:1:1,1:1:1,
94130192387504,GIN_compute_one_graph,0,0,xilinx_u50_gen3x16_xdma_201920_3-0,1710.13,2.16028,1:1:1,1:1:1,
94130192387504,GIN_compute_one_graph,0,0,xilinx_u50_gen3x16_xdma_201920_3-0,3132.19,1.99843,1:1:1,1:1:1,
94130192387504,GIN_compute_one_graph,0,0,xilinx_u50_gen3x16_xdma_201920_3-0,4114.78,1.94074,1:1:1,1:1:1,
94130192387504,GIN_compute_one_graph,0,0,xilinx_u50_gen3x16_xdma_201920_3-0,8054.77,1.89457,1:1:1,1:1:1,
94130192387504,GIN_compute_one_graph,0,0,xilinx_u50_gen3x16_xdma_201920_3-0,4805.92,1.87015,1:1:1,1:1:1,
94130192387504,GIN_compute_one_graph,0,0,xilinx_u50_gen3x16_xdma_201920_3-0,5871.6,1.85488,1:1:1,1:1:1,
94130192387504,GIN_compute_one_graph,0,0,xilinx_u50_gen3x16_xdma_201920_3-0,6484.3,1.82296,1:1:1,1:1:1,

Top Memory Writes: Host to Global Memory
Buffer Address,Context ID,Command Queue ID,Start Time (ms),Duration (ms),Buffer Size (KB),Writing Rate(MB/s),
917504,0,0,870.643,0.34175,918.84,314.014,
946176,0,0,5498.96,0.220757,17.216,3.80055,
974848,0,0,4102.01,0.21723,17.216,3.73983,
974848,0,0,3754.3,0.209947,17.216,3.61445,
974848,0,0,6001.75,0.209507,17.216,3.60687,
974848,0,0,4027.11,0.20923,17.216,3.6021,
946176,0,0,3385.62,0.204036,17.216,3.51268,
974848,0,0,7511.07,0.202503,17.216,3.48629,
974848,0,0,7654.67,0.202356,17.216,3.48376,
946176,0,0,7259.35,0.199226,17.216,3.42987,

Top Memory Reads: Host to Global Memory
Buffer Address,Context ID,Command Queue ID,Start Time (ms),Duration (ms),Buffer Size (KB),Reading Rate(MB/s),
946176,0,0,3705.3,0.244143,0.004,0.000976572,
974848,0,0,4233.95,0.155933,0.004,0.000623732,
974848,0,0,5921.51,0.152393,0.004,0.000609572,
974848,0,0,7817.54,0.140823,0.004,0.000563292,
974848,0,0,7242.36,0.139553,0.004,0.000558212,
946176,0,0,8206.93,0.139377,0.004,0.000557508,
946176,0,0,3717.47,0.13867,0.004,0.00055468,
946176,0,0,6179.22,0.137223,0.004,0.000548892,
946176,0,0,4505.53,0.136877,0.004,0.000547508,
974848,0,0,7254.09,0.1368,0.004,0.0005472,



Guidance Parameters
Parameter,Element,Value,
MIGRATE_MEM,host,4112,
PLRAM_DEVICE,all,0,
HBM_DEVICE,all,0,
KDMA_DEVICE,all,0,
P2P_DEVICE,all,0,
P2P_HOST_TRANSFERS,host,0,
OBJECTS_RELEASED,all,1,
CU_CONTEXT_EN,all,0,
TRACE_MEMORY,all,FIFO,
MAX_PARALLEL_KERNEL_ENQUEUES,GIN_compute_one_graph,1,
COMMAND_QUEUE_OOO,94130192391104,0,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|node_feature_in|HBM[0]|1,7200,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|edge_list_in|HBM[0]|1,4000,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|edge_attr_in|HBM[0]|1,6000,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|graph_attr|HBM[0]|1,12,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|task_r|HBM[0]|1,4,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|gnn_node_mlp_1_weights_fixed|HBM[0]|1,400000,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|gnn_node_mlp_1_bias_fixed|HBM[0]|1,4000,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|gnn_node_mlp_2_weights_fixed|HBM[0]|1,400000,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|gnn_node_mlp_2_bias_fixed|HBM[0]|1,2000,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|gnn_node_embedding_fixed|HBM[0]|1,69200,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|gnn_edge_embedding_fixed|HBM[0]|1,26000,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|graph_pred_linear_weight_fixed|HBM[0]|1,400,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|graph_pred_linear_bias_fixed|HBM[0]|1,4,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|eps_fixed|HBM[0]|1,20,
XRT_INI_SETTING,profile,0,
XRT_INI_SETTING,opencl_summary,1,
XRT_INI_SETTING,opencl_device_counter,0,
XRT_INI_SETTING,timeline_trace,1,
XRT_INI_SETTING,opencl_trace,1,
XRT_INI_SETTING,xrt_trace,0,
XRT_INI_SETTING,native_xrt_trace,0,
XRT_INI_SETTING,xrt_profile,0,
XRT_INI_SETTING,data_transfer_trace,off,
XRT_INI_SETTING,power_profile,0,
XRT_INI_SETTING,power_profile_interval_ms,20,
XRT_INI_SETTING,stall_trace,off,
XRT_INI_SETTING,trace_buffer_size,1M,
XRT_INI_SETTING,verbosity,4,
XRT_INI_SETTING,continuous_trace,0,
XRT_INI_SETTING,continuous_trace_interval_ms,10,
XRT_INI_SETTING,trace_buffer_offload_interval_ms,10,
XRT_INI_SETTING,trace_file_dump_interval_s,5,
XRT_INI_SETTING,lop_trace,0,
XRT_INI_SETTING,debug_mode,batch,
XRT_INI_SETTING,aie_trace,0,
XRT_INI_SETTING,aie_trace_buffer_size,8M,
XRT_INI_SETTING,aie_trace_metrics,functions,
XRT_INI_SETTING,aie_profile,0,
XRT_INI_SETTING,aie_profile_interval_us,1000,
XRT_INI_SETTING,aie_profile_core_metrics,heat_map,
XRT_INI_SETTING,aie_profile_memory_metrics,dma_locks,
XRT_INI_SETTING,vitis_ai_profile,0,
XRT_INI_SETTING,sc_profile,0,
BUFFER_RD_ACTIVE_TIME_MS,all,285.559,
BUFFER_WR_ACTIVE_TIME_MS,all,565.931,
BUFFER_TX_ACTIVE_TIME_MS,all,7930.94,
APPLICATION_RUN_TIME_MS,all,10428.3,
TOTAL_KERNEL_RUN_TIME_MS,all,0,
