Profile Summary
Generated on: 2022-01-01 00:34:14
Msec since Epoch: 1641015254026
Profiled application: host
Target platform: Xilinx
Tool version: 2021.1
XRT build version: 2.11.634
Build version branch: 2021.1
Build version hash: 5ad5998d67080f00bca5bf15b3838cf35e0a7b26
Build version date: N/A
Target devices: 
Flow mode: System Run

OpenCL API Calls
API Name,Number Of Calls,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),
clCreateBuffer,20569,573.489,0.00893,0.0278812,3.03571,
clCreateCommandQueue,1,0.012256,0.012256,0.012256,0.012256,
clCreateContext,1,42.6303,42.6303,42.6303,42.6303,
clCreateKernel,1,12.8931,12.8931,12.8931,12.8931,
clCreateProgramWithBinary,1,123.468,123.468,123.468,123.468,
clEnqueueMigrateMemObjects,4112,31.9455,0.003859,0.00776885,0.056767,
clEnqueueTask,4112,306.819,0.037344,0.0746155,23.1152,
clFinish,4112,5288.95,0.649785,1.28622,7.76191,
clGetDeviceIDs,5,0.095519,0.001717,0.0191038,0.078373,
clGetDeviceInfo,2,16.282,0.003355,8.14102,16.2787,
clGetExtensionFunctionAddress,2,0.048693,0.006043,0.0243465,0.04265,
clGetExtensionFunctionAddressForPlatform,2,0.020296,0.002456,0.010148,0.01784,
clGetPlatformInfo,6,0.017706,0.00118,0.002951,0.00885,
clReleaseCommandQueue,1,0.005933,0.005933,0.005933,0.005933,
clReleaseContext,1,70.6389,70.6389,70.6389,70.6389,
clReleaseDevice,5,0.012374,0.000924,0.0024748,0.0044,
clReleaseKernel,1,3.51709,3.51709,3.51709,3.51709,
clReleaseMemObject,28793,64.8004,0.000765,0.00225056,0.284953,
clReleaseProgram,1,0.00337,0.00337,0.00337,0.00337,
clRetainDevice,5,0.027554,0.001009,0.0055108,0.015477,
clRetainMemObject,8224,22.1181,0.000724,0.00268946,0.162826,
clSetKernelArg,20569,186.763,0.000775,0.00907981,5.27987,

Kernel Execution
Kernel,Number Of Enqueues,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),
GIN_compute_one_graph,4112,4318.91,0.491078,1.05032,5.00629,

Top Kernel Execution
Kernel Instance Address,Kernel,Context ID,Command Queue ID,Device,Start Time (ms),Duration (ms),Global Work Size,Local Work Size,
94112573051504,GIN_compute_one_graph,0,0,xilinx_u50_gen3x16_xdma_201920_3-0,5522.16,5.00629,1:1:1,1:1:1,
94112573051504,GIN_compute_one_graph,0,0,xilinx_u50_gen3x16_xdma_201920_3-0,5529.45,3.64897,1:1:1,1:1:1,
94112573051504,GIN_compute_one_graph,0,0,xilinx_u50_gen3x16_xdma_201920_3-0,4620.62,3.48639,1:1:1,1:1:1,
94112573051504,GIN_compute_one_graph,0,0,xilinx_u50_gen3x16_xdma_201920_3-0,6284.47,3.44898,1:1:1,1:1:1,
94112573051504,GIN_compute_one_graph,0,0,xilinx_u50_gen3x16_xdma_201920_3-0,2150.35,3.42866,1:1:1,1:1:1,
94112573051504,GIN_compute_one_graph,0,0,xilinx_u50_gen3x16_xdma_201920_3-0,7411.1,3.25544,1:1:1,1:1:1,
94112573051504,GIN_compute_one_graph,0,0,xilinx_u50_gen3x16_xdma_201920_3-0,10163.6,3.20266,1:1:1,1:1:1,
94112573051504,GIN_compute_one_graph,0,0,xilinx_u50_gen3x16_xdma_201920_3-0,12917.3,3.172,1:1:1,1:1:1,
94112573051504,GIN_compute_one_graph,0,0,xilinx_u50_gen3x16_xdma_201920_3-0,9144.08,3.05289,1:1:1,1:1:1,
94112573051504,GIN_compute_one_graph,0,0,xilinx_u50_gen3x16_xdma_201920_3-0,12928.6,3.04702,1:1:1,1:1:1,

Top Memory Writes: Host to Global Memory
Buffer Address,Context ID,Command Queue ID,Start Time (ms),Duration (ms),Buffer Size (KB),Writing Rate(MB/s),
974848,0,0,6135.49,6.68839,17.216,115.147,
946176,0,0,5721.87,1.03323,17.216,17.7881,
917504,0,0,641.195,0.415639,918.84,381.906,
974848,0,0,13784.6,0.288759,17.216,4.97127,
946176,0,0,7760.49,0.277616,17.216,4.77944,
974848,0,0,12829.5,0.253556,17.216,4.36522,
974848,0,0,12387.8,0.235532,17.216,4.05492,
946176,0,0,5715.73,0.23483,17.216,4.04283,
974848,0,0,12822,0.233493,17.216,4.01982,
974848,0,0,11950.4,0.229746,17.216,3.95531,

Top Memory Reads: Host to Global Memory
Buffer Address,Context ID,Command Queue ID,Start Time (ms),Duration (ms),Buffer Size (KB),Reading Rate(MB/s),
946176,0,0,8405.59,0.360463,0.004,0.00144185,
946176,0,0,10198.7,0.272172,0.004,0.00108869,
974848,0,0,11636.4,0.137923,0.004,0.000551692,
974848,0,0,12591.2,0.129537,0.004,0.000518148,
974848,0,0,12258.9,0.126736,0.004,0.000506944,
974848,0,0,4639.65,0.123714,0.004,0.000494856,
946176,0,0,12600.4,0.120737,0.004,0.000482948,
974848,0,0,12564.9,0.119592,0.004,0.000478368,
974848,0,0,12597.1,0.118773,0.004,0.000475092,
974848,0,0,12603.3,0.11857,0.004,0.00047428,



Guidance Parameters
Parameter,Element,Value,
MIGRATE_MEM,host,4112,
PLRAM_DEVICE,all,0,
HBM_DEVICE,all,0,
KDMA_DEVICE,all,0,
P2P_DEVICE,all,0,
P2P_HOST_TRANSFERS,host,0,
OBJECTS_RELEASED,all,1,
CU_CONTEXT_EN,all,0,
TRACE_MEMORY,all,FIFO,
MAX_PARALLEL_KERNEL_ENQUEUES,GIN_compute_one_graph,1,
COMMAND_QUEUE_OOO,94112573089648,0,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|node_feature_in|HBM[0]|1,7200,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|edge_list_in|HBM[0]|1,4000,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|edge_attr_in|HBM[0]|1,6000,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|graph_attr|HBM[0]|1,12,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|task_r|HBM[0]|1,4,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|gnn_node_mlp_1_weights_fixed|HBM[0]|1,400000,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|gnn_node_mlp_1_bias_fixed|HBM[0]|1,4000,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|gnn_node_mlp_2_weights_fixed|HBM[0]|1,400000,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|gnn_node_mlp_2_bias_fixed|HBM[0]|1,2000,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|gnn_node_embedding_fixed|HBM[0]|1,69200,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|gnn_edge_embedding_fixed|HBM[0]|1,26000,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|graph_pred_linear_weight_fixed|HBM[0]|1,400,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|graph_pred_linear_bias_fixed|HBM[0]|1,4,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|eps_fixed|HBM[0]|1,20,
XRT_INI_SETTING,profile,0,
XRT_INI_SETTING,opencl_summary,1,
XRT_INI_SETTING,opencl_device_counter,0,
XRT_INI_SETTING,timeline_trace,0,
XRT_INI_SETTING,opencl_trace,1,
XRT_INI_SETTING,xrt_trace,0,
XRT_INI_SETTING,native_xrt_trace,0,
XRT_INI_SETTING,xrt_profile,0,
XRT_INI_SETTING,data_transfer_trace,off,
XRT_INI_SETTING,power_profile,0,
XRT_INI_SETTING,power_profile_interval_ms,20,
XRT_INI_SETTING,stall_trace,off,
XRT_INI_SETTING,trace_buffer_size,1M,
XRT_INI_SETTING,verbosity,4,
XRT_INI_SETTING,continuous_trace,0,
XRT_INI_SETTING,continuous_trace_interval_ms,10,
XRT_INI_SETTING,trace_buffer_offload_interval_ms,10,
XRT_INI_SETTING,trace_file_dump_interval_s,5,
XRT_INI_SETTING,lop_trace,0,
XRT_INI_SETTING,debug_mode,batch,
XRT_INI_SETTING,aie_trace,0,
XRT_INI_SETTING,aie_trace_buffer_size,8M,
XRT_INI_SETTING,aie_trace_metrics,functions,
XRT_INI_SETTING,aie_profile,0,
XRT_INI_SETTING,aie_profile_interval_us,1000,
XRT_INI_SETTING,aie_profile_core_metrics,heat_map,
XRT_INI_SETTING,aie_profile_memory_metrics,dma_locks,
XRT_INI_SETTING,vitis_ai_profile,0,
XRT_INI_SETTING,sc_profile,0,
BUFFER_RD_ACTIVE_TIME_MS,all,246.648,
BUFFER_WR_ACTIVE_TIME_MS,all,591.973,
BUFFER_TX_ACTIVE_TIME_MS,all,13486.9,
APPLICATION_RUN_TIME_MS,all,16360,
TOTAL_KERNEL_RUN_TIME_MS,all,0,
