Profile Summary
Generated on: 2021-12-31 14:39:27
Msec since Epoch: 1640979567228
Profiled application: host
Target platform: Xilinx
Tool version: 2021.1
XRT build version: 2.11.634
Build version branch: 2021.1
Build version hash: 5ad5998d67080f00bca5bf15b3838cf35e0a7b26
Build version date: N/A
Target devices: 
Flow mode: System Run

OpenCL API Calls
API Name,Number Of Calls,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),
clCreateBuffer,4679,135.678,0.009655,0.0289973,2.71463,
clCreateCommandQueue,1,0.00988,0.00988,0.00988,0.00988,
clCreateContext,1,47.3883,47.3883,47.3883,47.3883,
clCreateKernel,1,14.0337,14.0337,14.0337,14.0337,
clCreateProgramWithBinary,1,155.359,155.359,155.359,155.359,
clEnqueueMigrateMemObjects,934,7.41576,0.003694,0.00793979,0.05224,
clEnqueueTask,934,86.2614,0.036036,0.092357,19.9737,
clFinish,934,1908.41,1.55015,2.04327,3.56928,
clGetDeviceIDs,5,0.113949,0.001857,0.0227898,0.096564,
clGetDeviceInfo,2,16.922,0.002723,8.46099,16.9193,
clGetExtensionFunctionAddress,2,0.046967,0.006414,0.0234835,0.040553,
clGetExtensionFunctionAddressForPlatform,2,0.017797,0.00246,0.0088985,0.015337,
clGetPlatformInfo,6,0.015463,0.001186,0.00257717,0.006454,
clReleaseCommandQueue,1,0.007187,0.007187,0.007187,0.007187,
clReleaseContext,1,56.8145,56.8145,56.8145,56.8145,
clReleaseDevice,5,0.0136,0.001194,0.00272,0.004967,
clReleaseKernel,1,3.18117,3.18117,3.18117,3.18117,
clReleaseMemObject,6547,16.8433,0.000869,0.00257267,0.100493,
clReleaseProgram,1,0.003213,0.003213,0.003213,0.003213,
clRetainDevice,5,0.015254,0.001111,0.0030508,0.007849,
clRetainMemObject,1868,4.94299,0.000949,0.00264614,0.03888,
clSetKernelArg,4679,55.2037,0.000679,0.0117982,8.33667,

Kernel Execution
Kernel,Number Of Enqueues,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),
GIN_compute_one_graph,934,1591.02,1.24776,1.70345,3.38969,

Top Kernel Execution
Kernel Instance Address,Kernel,Context ID,Command Queue ID,Device,Start Time (ms),Duration (ms),Global Work Size,Local Work Size,
94225056734048,GIN_compute_one_graph,0,0,xilinx_u50_gen3x16_xdma_201920_3-0,725.039,3.38969,1:1:1,1:1:1,
94225056734048,GIN_compute_one_graph,0,0,xilinx_u50_gen3x16_xdma_201920_3-0,4172.24,2.08914,1:1:1,1:1:1,
94225056734048,GIN_compute_one_graph,0,0,xilinx_u50_gen3x16_xdma_201920_3-0,4313.87,2.08316,1:1:1,1:1:1,
94225056734048,GIN_compute_one_graph,0,0,xilinx_u50_gen3x16_xdma_201920_3-0,4378.15,2.08204,1:1:1,1:1:1,
94225056734048,GIN_compute_one_graph,0,0,xilinx_u50_gen3x16_xdma_201920_3-0,4335.55,2.06794,1:1:1,1:1:1,
94225056734048,GIN_compute_one_graph,0,0,xilinx_u50_gen3x16_xdma_201920_3-0,1431.94,2.04844,1:1:1,1:1:1,
94225056734048,GIN_compute_one_graph,0,0,xilinx_u50_gen3x16_xdma_201920_3-0,4215.93,2.04469,1:1:1,1:1:1,
94225056734048,GIN_compute_one_graph,0,0,xilinx_u50_gen3x16_xdma_201920_3-0,4400.64,2.04348,1:1:1,1:1:1,
94225056734048,GIN_compute_one_graph,0,0,xilinx_u50_gen3x16_xdma_201920_3-0,2513.9,2.04258,1:1:1,1:1:1,
94225056734048,GIN_compute_one_graph,0,0,xilinx_u50_gen3x16_xdma_201920_3-0,1060.95,2.03352,1:1:1,1:1:1,

Top Memory Writes: Host to Global Memory
Buffer Address,Context ID,Command Queue ID,Start Time (ms),Duration (ms),Buffer Size (KB),Writing Rate(MB/s),
917504,0,0,724.546,0.401507,918.84,368.921,
974848,0,0,2073.08,0.267971,17.216,4.61339,
946176,0,0,4093.45,0.265516,17.216,4.57112,
974848,0,0,4098.08,0.248887,17.216,4.28484,
946176,0,0,4120.04,0.24456,17.216,4.21034,
974848,0,0,4605.24,0.237164,17.216,4.08302,
974848,0,0,4080.64,0.23207,17.216,3.99532,
946176,0,0,4465.21,0.228373,17.216,3.93167,
946176,0,0,4448,0.22787,17.216,3.92301,
946176,0,0,1923.97,0.22157,17.216,3.81455,

Top Memory Reads: Host to Global Memory
Buffer Address,Context ID,Command Queue ID,Start Time (ms),Duration (ms),Buffer Size (KB),Reading Rate(MB/s),
974848,0,0,2100.22,1.4117,0.004,0.00564682,
946176,0,0,2701.47,0.692127,0.004,0.00276851,
946176,0,0,3011.9,0.406457,0.004,0.00162583,
946176,0,0,3908.73,0.365563,0.004,0.00146225,
974848,0,0,890.827,0.136446,0.004,0.000545784,
974848,0,0,925.578,0.136191,0.004,0.000544764,
974848,0,0,3827.1,0.13335,0.004,0.0005334,
946176,0,0,3176.07,0.13323,0.004,0.00053292,
974848,0,0,1314.41,0.132553,0.004,0.000530212,
946176,0,0,4069.05,0.131807,0.004,0.000527228,



Guidance Parameters
Parameter,Element,Value,
MIGRATE_MEM,host,934,
PLRAM_DEVICE,all,0,
HBM_DEVICE,all,0,
KDMA_DEVICE,all,0,
P2P_DEVICE,all,0,
P2P_HOST_TRANSFERS,host,0,
OBJECTS_RELEASED,all,1,
CU_CONTEXT_EN,all,0,
TRACE_MEMORY,all,FIFO,
MAX_PARALLEL_KERNEL_ENQUEUES,GIN_compute_one_graph,1,
COMMAND_QUEUE_OOO,94225056772192,0,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|node_feature_in|HBM[0]|1,7200,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|edge_list_in|HBM[0]|1,4000,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|edge_attr_in|HBM[0]|1,6000,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|graph_attr|HBM[0]|1,12,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|task_r|HBM[0]|1,4,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|gnn_node_mlp_1_weights_fixed|HBM[0]|1,400000,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|gnn_node_mlp_1_bias_fixed|HBM[0]|1,4000,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|gnn_node_mlp_2_weights_fixed|HBM[0]|1,400000,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|gnn_node_mlp_2_bias_fixed|HBM[0]|1,2000,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|gnn_node_embedding_fixed|HBM[0]|1,69200,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|gnn_edge_embedding_fixed|HBM[0]|1,26000,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|graph_pred_linear_weight_fixed|HBM[0]|1,400,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|graph_pred_linear_bias_fixed|HBM[0]|1,4,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|eps_fixed|HBM[0]|1,20,
XRT_INI_SETTING,profile,0,
XRT_INI_SETTING,opencl_summary,1,
XRT_INI_SETTING,opencl_device_counter,0,
XRT_INI_SETTING,timeline_trace,0,
XRT_INI_SETTING,opencl_trace,1,
XRT_INI_SETTING,xrt_trace,0,
XRT_INI_SETTING,native_xrt_trace,0,
XRT_INI_SETTING,xrt_profile,0,
XRT_INI_SETTING,data_transfer_trace,off,
XRT_INI_SETTING,power_profile,0,
XRT_INI_SETTING,power_profile_interval_ms,20,
XRT_INI_SETTING,stall_trace,off,
XRT_INI_SETTING,trace_buffer_size,1M,
XRT_INI_SETTING,verbosity,4,
XRT_INI_SETTING,continuous_trace,0,
XRT_INI_SETTING,continuous_trace_interval_ms,10,
XRT_INI_SETTING,trace_buffer_offload_interval_ms,10,
XRT_INI_SETTING,trace_file_dump_interval_s,5,
XRT_INI_SETTING,lop_trace,0,
XRT_INI_SETTING,debug_mode,batch,
XRT_INI_SETTING,aie_trace,0,
XRT_INI_SETTING,aie_trace_buffer_size,8M,
XRT_INI_SETTING,aie_trace_metrics,functions,
XRT_INI_SETTING,aie_profile,0,
XRT_INI_SETTING,aie_profile_interval_us,1000,
XRT_INI_SETTING,aie_profile_core_metrics,heat_map,
XRT_INI_SETTING,aie_profile_memory_metrics,dma_locks,
XRT_INI_SETTING,vitis_ai_profile,0,
XRT_INI_SETTING,sc_profile,0,
BUFFER_RD_ACTIVE_TIME_MS,all,82.9768,
BUFFER_WR_ACTIVE_TIME_MS,all,166.849,
BUFFER_TX_ACTIVE_TIME_MS,all,3951.34,
APPLICATION_RUN_TIME_MS,all,4880.73,
TOTAL_KERNEL_RUN_TIME_MS,all,0,
