Profile Summary
Generated on: 2021-12-31 14:40:13
Msec since Epoch: 1640979613795
Profiled application: host
Target platform: Xilinx
Tool version: 2021.1
XRT build version: 2.11.634
Build version branch: 2021.1
Build version hash: 5ad5998d67080f00bca5bf15b3838cf35e0a7b26
Build version date: N/A
Target devices: 
Flow mode: System Run

OpenCL API Calls
API Name,Number Of Calls,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),
clCreateBuffer,4709,134.368,0.010519,0.0285344,0.83646,
clCreateCommandQueue,1,0.010237,0.010237,0.010237,0.010237,
clCreateContext,1,45.9479,45.9479,45.9479,45.9479,
clCreateKernel,1,13.9588,13.9588,13.9588,13.9588,
clCreateProgramWithBinary,1,154.047,154.047,154.047,154.047,
clEnqueueMigrateMemObjects,940,7.62393,0.003844,0.00811056,0.04774,
clEnqueueTask,940,88.5424,0.035375,0.094194,20.1548,
clFinish,940,1979.29,1.59177,2.10563,3.82897,
clGetDeviceIDs,5,0.123407,0.001873,0.0246814,0.105154,
clGetDeviceInfo,2,16.1751,0.00326,8.08754,16.1718,
clGetExtensionFunctionAddress,2,0.048493,0.00592,0.0242465,0.042573,
clGetExtensionFunctionAddressForPlatform,2,0.016953,0.002287,0.0084765,0.014666,
clGetPlatformInfo,6,0.016016,0.001214,0.00266933,0.006864,
clReleaseCommandQueue,1,0.006847,0.006847,0.006847,0.006847,
clReleaseContext,1,45.4391,45.4391,45.4391,45.4391,
clReleaseDevice,5,0.014091,0.001245,0.0028182,0.004962,
clReleaseKernel,1,3.09846,3.09846,3.09846,3.09846,
clReleaseMemObject,6589,16.8779,0.000845,0.00256152,0.125576,
clReleaseProgram,1,0.003175,0.003175,0.003175,0.003175,
clRetainDevice,5,0.016882,0.001263,0.0033764,0.009066,
clRetainMemObject,1880,4.70473,0.000861,0.00250252,0.039023,
clSetKernelArg,4709,48.0099,0.000685,0.0101953,0.088887,

Kernel Execution
Kernel,Number Of Enqueues,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),
GIN_compute_one_graph,940,1677.37,1.34087,1.78443,3.44707,

Top Kernel Execution
Kernel Instance Address,Kernel,Context ID,Command Queue ID,Device,Start Time (ms),Duration (ms),Global Work Size,Local Work Size,
94116047543136,GIN_compute_one_graph,0,0,xilinx_u50_gen3x16_xdma_201920_3-0,727.994,3.44707,1:1:1,1:1:1,
94116047543136,GIN_compute_one_graph,0,0,xilinx_u50_gen3x16_xdma_201920_3-0,3359.25,2.22491,1:1:1,1:1:1,
94116047543136,GIN_compute_one_graph,0,0,xilinx_u50_gen3x16_xdma_201920_3-0,3093.8,2.21781,1:1:1,1:1:1,
94116047543136,GIN_compute_one_graph,0,0,xilinx_u50_gen3x16_xdma_201920_3-0,3477.98,2.21636,1:1:1,1:1:1,
94116047543136,GIN_compute_one_graph,0,0,xilinx_u50_gen3x16_xdma_201920_3-0,4338.36,2.19744,1:1:1,1:1:1,
94116047543136,GIN_compute_one_graph,0,0,xilinx_u50_gen3x16_xdma_201920_3-0,3583,2.18872,1:1:1,1:1:1,
94116047543136,GIN_compute_one_graph,0,0,xilinx_u50_gen3x16_xdma_201920_3-0,3596.74,2.18186,1:1:1,1:1:1,
94116047543136,GIN_compute_one_graph,0,0,xilinx_u50_gen3x16_xdma_201920_3-0,2810.77,2.17699,1:1:1,1:1:1,
94116047543136,GIN_compute_one_graph,0,0,xilinx_u50_gen3x16_xdma_201920_3-0,2330.02,2.17271,1:1:1,1:1:1,
94116047543136,GIN_compute_one_graph,0,0,xilinx_u50_gen3x16_xdma_201920_3-0,4214.72,2.17144,1:1:1,1:1:1,

Top Memory Writes: Host to Global Memory
Buffer Address,Context ID,Command Queue ID,Start Time (ms),Duration (ms),Buffer Size (KB),Writing Rate(MB/s),
946176,0,0,3052.66,0.82436,17.216,14.1922,
917504,0,0,727.593,0.360159,918.84,330.928,
946176,0,0,2081.2,0.221437,17.216,3.81226,
946176,0,0,2141.24,0.213004,17.216,3.66708,
974848,0,0,4408.77,0.2122,17.216,3.65324,
946176,0,0,2166.7,0.20868,17.216,3.59263,
946176,0,0,1706.44,0.208227,17.216,3.58484,
946176,0,0,3983.13,0.20745,17.216,3.57146,
946176,0,0,3677.23,0.206173,17.216,3.54947,
974848,0,0,2076.23,0.205603,17.216,3.53966,

Top Memory Reads: Host to Global Memory
Buffer Address,Context ID,Command Queue ID,Start Time (ms),Duration (ms),Buffer Size (KB),Reading Rate(MB/s),
974848,0,0,3453.27,0.15725,0.004,0.000629,
974848,0,0,1561.27,0.154484,0.004,0.000617936,
974848,0,0,4533.55,0.15379,0.004,0.00061516,
974848,0,0,4033.31,0.15081,0.004,0.00060324,
974848,0,0,1823.07,0.149997,0.004,0.000599988,
974848,0,0,3621.12,0.147397,0.004,0.000589588,
974848,0,0,2534.52,0.14704,0.004,0.00058816,
974848,0,0,4491.04,0.14696,0.004,0.00058784,
974848,0,0,3929.05,0.146927,0.004,0.000587708,
974848,0,0,4349.27,0.14669,0.004,0.00058676,



Guidance Parameters
Parameter,Element,Value,
MIGRATE_MEM,host,940,
PLRAM_DEVICE,all,0,
HBM_DEVICE,all,0,
KDMA_DEVICE,all,0,
P2P_DEVICE,all,0,
P2P_HOST_TRANSFERS,host,0,
OBJECTS_RELEASED,all,1,
CU_CONTEXT_EN,all,0,
TRACE_MEMORY,all,FIFO,
MAX_PARALLEL_KERNEL_ENQUEUES,GIN_compute_one_graph,1,
COMMAND_QUEUE_OOO,94116047581280,0,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|node_feature_in|HBM[0]|1,7200,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|edge_list_in|HBM[0]|1,4000,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|edge_attr_in|HBM[0]|1,6000,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|graph_attr|HBM[0]|1,12,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|task_r|HBM[0]|1,4,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|gnn_node_mlp_1_weights_fixed|HBM[0]|1,400000,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|gnn_node_mlp_1_bias_fixed|HBM[0]|1,4000,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|gnn_node_mlp_2_weights_fixed|HBM[0]|1,400000,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|gnn_node_mlp_2_bias_fixed|HBM[0]|1,2000,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|gnn_node_embedding_fixed|HBM[0]|1,69200,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|gnn_edge_embedding_fixed|HBM[0]|1,26000,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|graph_pred_linear_weight_fixed|HBM[0]|1,400,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|graph_pred_linear_bias_fixed|HBM[0]|1,4,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|eps_fixed|HBM[0]|1,20,
XRT_INI_SETTING,profile,0,
XRT_INI_SETTING,opencl_summary,1,
XRT_INI_SETTING,opencl_device_counter,0,
XRT_INI_SETTING,timeline_trace,0,
XRT_INI_SETTING,opencl_trace,1,
XRT_INI_SETTING,xrt_trace,0,
XRT_INI_SETTING,native_xrt_trace,0,
XRT_INI_SETTING,xrt_profile,0,
XRT_INI_SETTING,data_transfer_trace,off,
XRT_INI_SETTING,power_profile,0,
XRT_INI_SETTING,power_profile_interval_ms,20,
XRT_INI_SETTING,stall_trace,off,
XRT_INI_SETTING,trace_buffer_size,1M,
XRT_INI_SETTING,verbosity,4,
XRT_INI_SETTING,continuous_trace,0,
XRT_INI_SETTING,continuous_trace_interval_ms,10,
XRT_INI_SETTING,trace_buffer_offload_interval_ms,10,
XRT_INI_SETTING,trace_file_dump_interval_s,5,
XRT_INI_SETTING,lop_trace,0,
XRT_INI_SETTING,debug_mode,batch,
XRT_INI_SETTING,aie_trace,0,
XRT_INI_SETTING,aie_trace_buffer_size,8M,
XRT_INI_SETTING,aie_trace_metrics,functions,
XRT_INI_SETTING,aie_profile,0,
XRT_INI_SETTING,aie_profile_interval_us,1000,
XRT_INI_SETTING,aie_profile_core_metrics,heat_map,
XRT_INI_SETTING,aie_profile_memory_metrics,dma_locks,
XRT_INI_SETTING,vitis_ai_profile,0,
XRT_INI_SETTING,sc_profile,0,
BUFFER_RD_ACTIVE_TIME_MS,all,105.877,
BUFFER_WR_ACTIVE_TIME_MS,all,146.417,
BUFFER_TX_ACTIVE_TIME_MS,all,4028.93,
APPLICATION_RUN_TIME_MS,all,4952,
TOTAL_KERNEL_RUN_TIME_MS,all,0,
