Profile Summary
Generated on: 2021-12-31 14:40:48
Msec since Epoch: 1640979648868
Profiled application: host
Target platform: Xilinx
Tool version: 2021.1
XRT build version: 2.11.634
Build version branch: 2021.1
Build version hash: 5ad5998d67080f00bca5bf15b3838cf35e0a7b26
Build version date: N/A
Target devices: 
Flow mode: System Run

OpenCL API Calls
API Name,Number Of Calls,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),
clCreateBuffer,1234,36.8233,0.010369,0.0298406,2.05435,
clCreateCommandQueue,1,0.009995,0.009995,0.009995,0.009995,
clCreateContext,1,47.1229,47.1229,47.1229,47.1229,
clCreateKernel,1,13.9606,13.9606,13.9606,13.9606,
clCreateProgramWithBinary,1,155.453,155.453,155.453,155.453,
clEnqueueMigrateMemObjects,245,1.89129,0.004705,0.00771957,0.013997,
clEnqueueTask,245,36.5974,0.040233,0.149377,18.787,
clFinish,245,528.171,1.63799,2.1558,4.08291,
clGetDeviceIDs,5,0.108079,0.001854,0.0216158,0.090737,
clGetDeviceInfo,2,16.9962,0.002685,8.49811,16.9935,
clGetExtensionFunctionAddress,2,0.038334,0.00636,0.019167,0.031974,
clGetExtensionFunctionAddressForPlatform,2,0.019343,0.002457,0.0096715,0.016886,
clGetPlatformInfo,6,0.015733,0.001276,0.00262217,0.006857,
clReleaseCommandQueue,1,0.006636,0.006636,0.006636,0.006636,
clReleaseContext,1,46.8728,46.8728,46.8728,46.8728,
clReleaseDevice,5,0.013894,0.001172,0.0027788,0.004995,
clReleaseKernel,1,3.7016,3.7016,3.7016,3.7016,
clReleaseMemObject,1724,4.01806,0.000853,0.00233066,0.01994,
clReleaseProgram,1,0.00294,0.00294,0.00294,0.00294,
clRetainDevice,5,0.015365,0.001207,0.003073,0.00768,
clRetainMemObject,490,1.36539,0.001007,0.00278652,0.034196,
clSetKernelArg,1234,12.2005,0.000648,0.00988699,0.03832,

Kernel Execution
Kernel,Number Of Enqueues,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),
GIN_compute_one_graph,245,455.237,1.42724,1.85811,3.87309,

Top Kernel Execution
Kernel Instance Address,Kernel,Context ID,Command Queue ID,Device,Start Time (ms),Duration (ms),Global Work Size,Local Work Size,
94745698798432,GIN_compute_one_graph,0,0,xilinx_u50_gen3x16_xdma_201920_3-0,708.589,3.87309,1:1:1,1:1:1,
94745698798432,GIN_compute_one_graph,0,0,xilinx_u50_gen3x16_xdma_201920_3-0,714.499,2.20937,1:1:1,1:1:1,
94745698798432,GIN_compute_one_graph,0,0,xilinx_u50_gen3x16_xdma_201920_3-0,1185.26,2.20779,1:1:1,1:1:1,
94745698798432,GIN_compute_one_graph,0,0,xilinx_u50_gen3x16_xdma_201920_3-0,1594.64,2.20531,1:1:1,1:1:1,
94745698798432,GIN_compute_one_graph,0,0,xilinx_u50_gen3x16_xdma_201920_3-0,1198.67,2.20514,1:1:1,1:1:1,
94745698798432,GIN_compute_one_graph,0,0,xilinx_u50_gen3x16_xdma_201920_3-0,1025.33,2.20198,1:1:1,1:1:1,
94745698798432,GIN_compute_one_graph,0,0,xilinx_u50_gen3x16_xdma_201920_3-0,1698.39,2.19323,1:1:1,1:1:1,
94745698798432,GIN_compute_one_graph,0,0,xilinx_u50_gen3x16_xdma_201920_3-0,1502.59,2.18562,1:1:1,1:1:1,
94745698798432,GIN_compute_one_graph,0,0,xilinx_u50_gen3x16_xdma_201920_3-0,911.287,2.18503,1:1:1,1:1:1,
94745698798432,GIN_compute_one_graph,0,0,xilinx_u50_gen3x16_xdma_201920_3-0,1655.94,2.18344,1:1:1,1:1:1,

Top Memory Writes: Host to Global Memory
Buffer Address,Context ID,Command Queue ID,Start Time (ms),Duration (ms),Buffer Size (KB),Writing Rate(MB/s),
917504,0,0,708.127,0.414116,918.84,380.506,
974848,0,0,1327.41,0.204144,17.216,3.51454,
946176,0,0,1427.3,0.204117,17.216,3.51408,
946176,0,0,1158.45,0.203666,17.216,3.50631,
946176,0,0,1331.98,0.20104,17.216,3.4611,
946176,0,0,1323,0.199793,17.216,3.43964,
974848,0,0,1729.59,0.195533,17.216,3.3663,
974848,0,0,928.687,0.195496,17.216,3.36566,
946176,0,0,1435.89,0.19536,17.216,3.36332,
946176,0,0,1176.04,0.191124,17.216,3.29039,

Top Memory Reads: Host to Global Memory
Buffer Address,Context ID,Command Queue ID,Start Time (ms),Duration (ms),Buffer Size (KB),Reading Rate(MB/s),
946176,0,0,1308.85,0.14287,0.004,0.00057148,
946176,0,0,1518.47,0.137484,0.004,0.000549936,
946176,0,0,1342.42,0.13555,0.004,0.0005422,
946176,0,0,1447.27,0.134473,0.004,0.000537892,
946176,0,0,1674.51,0.134343,0.004,0.000537372,
946176,0,0,1394.48,0.134156,0.004,0.000536624,
974848,0,0,1433.33,0.133967,0.004,0.000535868,
946176,0,0,1240.06,0.133774,0.004,0.000535096,
974848,0,0,1731.94,0.133503,0.004,0.000534012,
946176,0,0,1666.03,0.133501,0.004,0.000534004,



Guidance Parameters
Parameter,Element,Value,
MIGRATE_MEM,host,245,
PLRAM_DEVICE,all,0,
HBM_DEVICE,all,0,
KDMA_DEVICE,all,0,
P2P_DEVICE,all,0,
P2P_HOST_TRANSFERS,host,0,
OBJECTS_RELEASED,all,1,
CU_CONTEXT_EN,all,0,
TRACE_MEMORY,all,FIFO,
MAX_PARALLEL_KERNEL_ENQUEUES,GIN_compute_one_graph,1,
COMMAND_QUEUE_OOO,94745698836576,0,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|node_feature_in|HBM[0]|1,7200,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|edge_list_in|HBM[0]|1,4000,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|edge_attr_in|HBM[0]|1,6000,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|graph_attr|HBM[0]|1,12,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|task_r|HBM[0]|1,4,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|gnn_node_mlp_1_weights_fixed|HBM[0]|1,400000,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|gnn_node_mlp_1_bias_fixed|HBM[0]|1,4000,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|gnn_node_mlp_2_weights_fixed|HBM[0]|1,400000,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|gnn_node_mlp_2_bias_fixed|HBM[0]|1,2000,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|gnn_node_embedding_fixed|HBM[0]|1,69200,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|gnn_edge_embedding_fixed|HBM[0]|1,26000,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|graph_pred_linear_weight_fixed|HBM[0]|1,400,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|graph_pred_linear_bias_fixed|HBM[0]|1,4,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|eps_fixed|HBM[0]|1,20,
XRT_INI_SETTING,profile,0,
XRT_INI_SETTING,opencl_summary,1,
XRT_INI_SETTING,opencl_device_counter,0,
XRT_INI_SETTING,timeline_trace,0,
XRT_INI_SETTING,opencl_trace,1,
XRT_INI_SETTING,xrt_trace,0,
XRT_INI_SETTING,native_xrt_trace,0,
XRT_INI_SETTING,xrt_profile,0,
XRT_INI_SETTING,data_transfer_trace,off,
XRT_INI_SETTING,power_profile,0,
XRT_INI_SETTING,power_profile_interval_ms,20,
XRT_INI_SETTING,stall_trace,off,
XRT_INI_SETTING,trace_buffer_size,1M,
XRT_INI_SETTING,verbosity,4,
XRT_INI_SETTING,continuous_trace,0,
XRT_INI_SETTING,continuous_trace_interval_ms,10,
XRT_INI_SETTING,trace_buffer_offload_interval_ms,10,
XRT_INI_SETTING,trace_file_dump_interval_s,5,
XRT_INI_SETTING,lop_trace,0,
XRT_INI_SETTING,debug_mode,batch,
XRT_INI_SETTING,aie_trace,0,
XRT_INI_SETTING,aie_trace_buffer_size,8M,
XRT_INI_SETTING,aie_trace_metrics,functions,
XRT_INI_SETTING,aie_profile,0,
XRT_INI_SETTING,aie_profile_interval_us,1000,
XRT_INI_SETTING,aie_profile_core_metrics,heat_map,
XRT_INI_SETTING,aie_profile_memory_metrics,dma_locks,
XRT_INI_SETTING,vitis_ai_profile,0,
XRT_INI_SETTING,sc_profile,0,
BUFFER_RD_ACTIVE_TIME_MS,all,25.8598,
BUFFER_WR_ACTIVE_TIME_MS,all,37.7179,
BUFFER_TX_ACTIVE_TIME_MS,all,1053.99,
APPLICATION_RUN_TIME_MS,all,1830.55,
TOTAL_KERNEL_RUN_TIME_MS,all,0,
