Profile Summary
Generated on: 2021-12-31 14:41:57
Msec since Epoch: 1640979717075
Profiled application: host
Target platform: Xilinx
Tool version: 2021.1
XRT build version: 2.11.634
Build version branch: 2021.1
Build version hash: 5ad5998d67080f00bca5bf15b3838cf35e0a7b26
Build version date: N/A
Target devices: 
Flow mode: System Run

OpenCL API Calls
API Name,Number Of Calls,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),
clCreateBuffer,4844,138.98,0.0109,0.0286912,1.55724,
clCreateCommandQueue,1,0.010384,0.010384,0.010384,0.010384,
clCreateContext,1,44.3714,44.3714,44.3714,44.3714,
clCreateKernel,1,14.0114,14.0114,14.0114,14.0114,
clCreateProgramWithBinary,1,156.297,156.297,156.297,156.297,
clEnqueueMigrateMemObjects,967,6.94933,0.004367,0.00718648,0.033124,
clEnqueueTask,967,88.6481,0.040949,0.0916733,20.5043,
clFinish,967,2284.51,1.79397,2.36247,4.46942,
clGetDeviceIDs,5,0.115443,0.00186,0.0230886,0.09799,
clGetDeviceInfo,2,16.6844,0.002945,8.34222,16.6815,
clGetExtensionFunctionAddress,2,0.046186,0.006213,0.023093,0.039973,
clGetExtensionFunctionAddressForPlatform,2,0.018206,0.002456,0.009103,0.01575,
clGetPlatformInfo,6,0.014272,0.00115,0.00237867,0.005607,
clReleaseCommandQueue,1,0.007843,0.007843,0.007843,0.007843,
clReleaseContext,1,63.9345,63.9345,63.9345,63.9345,
clReleaseDevice,5,0.013757,0.001258,0.0027514,0.004805,
clReleaseKernel,1,4.94979,4.94979,4.94979,4.94979,
clReleaseMemObject,6778,16.5141,0.00092,0.00243642,0.091267,
clReleaseProgram,1,0.003438,0.003438,0.003438,0.003438,
clRetainDevice,5,0.014738,0.000916,0.0029476,0.007489,
clRetainMemObject,1934,5.00755,0.001011,0.00258922,0.03788,
clSetKernelArg,4844,47.5604,0.00066,0.00981842,0.101337,

Kernel Execution
Kernel,Number Of Enqueues,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),
GIN_compute_one_graph,967,1979.04,1.51735,2.04658,3.91087,

Top Kernel Execution
Kernel Instance Address,Kernel,Context ID,Command Queue ID,Device,Start Time (ms),Duration (ms),Global Work Size,Local Work Size,
94340856134496,GIN_compute_one_graph,0,0,xilinx_u50_gen3x16_xdma_201920_3-0,705.381,3.91087,1:1:1,1:1:1,
94340856134496,GIN_compute_one_graph,0,0,xilinx_u50_gen3x16_xdma_201920_3-0,2821.12,2.48355,1:1:1,1:1:1,
94340856134496,GIN_compute_one_graph,0,0,xilinx_u50_gen3x16_xdma_201920_3-0,3475.92,2.48092,1:1:1,1:1:1,
94340856134496,GIN_compute_one_graph,0,0,xilinx_u50_gen3x16_xdma_201920_3-0,3019.45,2.47897,1:1:1,1:1:1,
94340856134496,GIN_compute_one_graph,0,0,xilinx_u50_gen3x16_xdma_201920_3-0,2722.6,2.47889,1:1:1,1:1:1,
94340856134496,GIN_compute_one_graph,0,0,xilinx_u50_gen3x16_xdma_201920_3-0,4354.66,2.47245,1:1:1,1:1:1,
94340856134496,GIN_compute_one_graph,0,0,xilinx_u50_gen3x16_xdma_201920_3-0,3398.84,2.47222,1:1:1,1:1:1,
94340856134496,GIN_compute_one_graph,0,0,xilinx_u50_gen3x16_xdma_201920_3-0,5071.06,2.47133,1:1:1,1:1:1,
94340856134496,GIN_compute_one_graph,0,0,xilinx_u50_gen3x16_xdma_201920_3-0,1026.25,2.47115,1:1:1,1:1:1,
94340856134496,GIN_compute_one_graph,0,0,xilinx_u50_gen3x16_xdma_201920_3-0,4980.63,2.47054,1:1:1,1:1:1,

Top Memory Writes: Host to Global Memory
Buffer Address,Context ID,Command Queue ID,Start Time (ms),Duration (ms),Buffer Size (KB),Writing Rate(MB/s),
917504,0,0,704.956,0.38356,918.84,352.43,
946176,0,0,3088.48,0.257684,17.216,4.43629,
946176,0,0,3732.44,0.232073,17.216,3.99537,
974848,0,0,1592.25,0.221837,17.216,3.81915,
974848,0,0,3324.5,0.220537,17.216,3.79676,
946176,0,0,2722.36,0.220067,17.216,3.78867,
974848,0,0,2708.5,0.219677,17.216,3.78196,
946176,0,0,3586.43,0.219444,17.216,3.77795,
974848,0,0,2916.3,0.21929,17.216,3.7753,
974848,0,0,3581.64,0.219033,17.216,3.77087,

Top Memory Reads: Host to Global Memory
Buffer Address,Context ID,Command Queue ID,Start Time (ms),Duration (ms),Buffer Size (KB),Reading Rate(MB/s),
974848,0,0,5112.73,0.145803,0.004,0.000583212,
974848,0,0,5068.75,0.145644,0.004,0.000582576,
974848,0,0,4574.79,0.145373,0.004,0.000581492,
974848,0,0,3912.37,0.144397,0.004,0.000577588,
974848,0,0,4584.08,0.14301,0.004,0.00057204,
974848,0,0,5077.73,0.142693,0.004,0.000570772,
974848,0,0,4504.15,0.140963,0.004,0.000563852,
974848,0,0,4423.26,0.13976,0.004,0.00055904,
946176,0,0,2241.78,0.13823,0.004,0.00055292,
974848,0,0,2359.38,0.136987,0.004,0.000547948,



Guidance Parameters
Parameter,Element,Value,
MIGRATE_MEM,host,967,
PLRAM_DEVICE,all,0,
HBM_DEVICE,all,0,
KDMA_DEVICE,all,0,
P2P_DEVICE,all,0,
P2P_HOST_TRANSFERS,host,0,
OBJECTS_RELEASED,all,1,
CU_CONTEXT_EN,all,0,
TRACE_MEMORY,all,FIFO,
MAX_PARALLEL_KERNEL_ENQUEUES,GIN_compute_one_graph,1,
COMMAND_QUEUE_OOO,94340856172640,0,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|node_feature_in|HBM[0]|1,7200,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|edge_list_in|HBM[0]|1,4000,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|edge_attr_in|HBM[0]|1,6000,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|graph_attr|HBM[0]|1,12,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|task_r|HBM[0]|1,4,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|gnn_node_mlp_1_weights_fixed|HBM[0]|1,400000,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|gnn_node_mlp_1_bias_fixed|HBM[0]|1,4000,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|gnn_node_mlp_2_weights_fixed|HBM[0]|1,400000,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|gnn_node_mlp_2_bias_fixed|HBM[0]|1,2000,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|gnn_node_embedding_fixed|HBM[0]|1,69200,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|gnn_edge_embedding_fixed|HBM[0]|1,26000,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|graph_pred_linear_weight_fixed|HBM[0]|1,400,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|graph_pred_linear_bias_fixed|HBM[0]|1,4,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|eps_fixed|HBM[0]|1,20,
XRT_INI_SETTING,profile,0,
XRT_INI_SETTING,opencl_summary,1,
XRT_INI_SETTING,opencl_device_counter,0,
XRT_INI_SETTING,timeline_trace,0,
XRT_INI_SETTING,opencl_trace,1,
XRT_INI_SETTING,xrt_trace,0,
XRT_INI_SETTING,native_xrt_trace,0,
XRT_INI_SETTING,xrt_profile,0,
XRT_INI_SETTING,data_transfer_trace,off,
XRT_INI_SETTING,power_profile,0,
XRT_INI_SETTING,power_profile_interval_ms,20,
XRT_INI_SETTING,stall_trace,off,
XRT_INI_SETTING,trace_buffer_size,1M,
XRT_INI_SETTING,verbosity,4,
XRT_INI_SETTING,continuous_trace,0,
XRT_INI_SETTING,continuous_trace_interval_ms,10,
XRT_INI_SETTING,trace_buffer_offload_interval_ms,10,
XRT_INI_SETTING,trace_file_dump_interval_s,5,
XRT_INI_SETTING,lop_trace,0,
XRT_INI_SETTING,debug_mode,batch,
XRT_INI_SETTING,aie_trace,0,
XRT_INI_SETTING,aie_trace_buffer_size,8M,
XRT_INI_SETTING,aie_trace_metrics,functions,
XRT_INI_SETTING,aie_profile,0,
XRT_INI_SETTING,aie_profile_interval_us,1000,
XRT_INI_SETTING,aie_profile_core_metrics,heat_map,
XRT_INI_SETTING,aie_profile_memory_metrics,dma_locks,
XRT_INI_SETTING,vitis_ai_profile,0,
XRT_INI_SETTING,sc_profile,0,
BUFFER_RD_ACTIVE_TIME_MS,all,88.3361,
BUFFER_WR_ACTIVE_TIME_MS,all,169.213,
BUFFER_TX_ACTIVE_TIME_MS,all,4430.53,
APPLICATION_RUN_TIME_MS,all,5356.21,
TOTAL_KERNEL_RUN_TIME_MS,all,0,
