Profile Summary
Generated on: 2022-01-01 00:31:05
Msec since Epoch: 1641015065849
Profiled application: host
Target platform: Xilinx
Tool version: 2021.1
XRT build version: 2.11.634
Build version branch: 2021.1
Build version hash: 5ad5998d67080f00bca5bf15b3838cf35e0a7b26
Build version date: N/A
Target devices: 
Flow mode: System Run

OpenCL API Calls
API Name,Number Of Calls,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),
clCreateBuffer,20569,608.527,0.009145,0.0295847,2.75323,
clCreateCommandQueue,1,0.010476,0.010476,0.010476,0.010476,
clCreateContext,1,42.8838,42.8838,42.8838,42.8838,
clCreateKernel,1,18.8893,18.8893,18.8893,18.8893,
clCreateProgramWithBinary,1,184.359,184.359,184.359,184.359,
clEnqueueMigrateMemObjects,4112,31.2429,0.003154,0.00759799,0.056677,
clEnqueueTask,4112,290.65,0.031718,0.0706833,19.6072,
clFinish,4112,4054.19,0.478146,0.985942,4.64961,
clGetDeviceIDs,5,0.081254,0.001605,0.0162508,0.065617,
clGetDeviceInfo,2,18.031,0.002945,9.0155,18.0281,
clGetExtensionFunctionAddress,2,0.03569,0.004978,0.017845,0.030712,
clGetExtensionFunctionAddressForPlatform,2,0.013766,0.002032,0.006883,0.011734,
clGetPlatformInfo,6,0.01412,0.00104,0.00235333,0.00667,
clReleaseCommandQueue,1,0.005992,0.005992,0.005992,0.005992,
clReleaseContext,1,82.8979,82.8979,82.8979,82.8979,
clReleaseDevice,5,0.014136,0.001182,0.0028272,0.004844,
clReleaseKernel,1,2.81351,2.81351,2.81351,2.81351,
clReleaseMemObject,28793,60.1725,0.000751,0.00208983,0.286189,
clReleaseProgram,1,0.005353,0.005353,0.005353,0.005353,
clRetainDevice,5,0.015279,0.001051,0.0030558,0.007292,
clRetainMemObject,8224,20.8026,0.000764,0.0025295,0.156186,
clSetKernelArg,20569,176.052,0.000808,0.00855912,6.47873,

Kernel Execution
Kernel,Number Of Enqueues,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),
GIN_compute_one_graph,4112,3125.25,0.334079,0.760032,3.33711,

Top Kernel Execution
Kernel Instance Address,Kernel,Context ID,Command Queue ID,Device,Start Time (ms),Duration (ms),Global Work Size,Local Work Size,
94027316277712,GIN_compute_one_graph,0,0,xilinx_u50_gen3x16_xdma_201920_3-0,5177.98,3.33711,1:1:1,1:1:1,
94027316277712,GIN_compute_one_graph,0,0,xilinx_u50_gen3x16_xdma_201920_3-0,813.717,2.63805,1:1:1,1:1:1,
94027316277712,GIN_compute_one_graph,0,0,xilinx_u50_gen3x16_xdma_201920_3-0,5183.58,2.50497,1:1:1,1:1:1,
94027316277712,GIN_compute_one_graph,0,0,xilinx_u50_gen3x16_xdma_201920_3-0,2119.6,2.32884,1:1:1,1:1:1,
94027316277712,GIN_compute_one_graph,0,0,xilinx_u50_gen3x16_xdma_201920_3-0,5865.06,2.31322,1:1:1,1:1:1,
94027316277712,GIN_compute_one_graph,0,0,xilinx_u50_gen3x16_xdma_201920_3-0,6977.88,2.27574,1:1:1,1:1:1,
94027316277712,GIN_compute_one_graph,0,0,xilinx_u50_gen3x16_xdma_201920_3-0,4375.88,2.21115,1:1:1,1:1:1,
94027316277712,GIN_compute_one_graph,0,0,xilinx_u50_gen3x16_xdma_201920_3-0,11969.9,2.14204,1:1:1,1:1:1,
94027316277712,GIN_compute_one_graph,0,0,xilinx_u50_gen3x16_xdma_201920_3-0,8590.45,2.1097,1:1:1,1:1:1,
94027316277712,GIN_compute_one_graph,0,0,xilinx_u50_gen3x16_xdma_201920_3-0,9500.43,2.07124,1:1:1,1:1:1,

Top Memory Writes: Host to Global Memory
Buffer Address,Context ID,Command Queue ID,Start Time (ms),Duration (ms),Buffer Size (KB),Writing Rate(MB/s),
974848,0,0,11428.9,3.26543,17.216,56.2177,
917504,0,0,813.35,0.314197,918.84,288.697,
946176,0,0,7672.49,0.267033,17.216,4.59724,
946176,0,0,2532.88,0.231803,17.216,3.99072,
974848,0,0,2506.7,0.221697,17.216,3.81674,
946176,0,0,1729.28,0.218581,17.216,3.76309,
946176,0,0,3568.65,0.215928,17.216,3.71742,
946176,0,0,6451.35,0.215657,17.216,3.71275,
974848,0,0,9303.15,0.214023,17.216,3.68462,
946176,0,0,10162,0.212857,17.216,3.66455,

Top Memory Reads: Host to Global Memory
Buffer Address,Context ID,Command Queue ID,Start Time (ms),Duration (ms),Buffer Size (KB),Reading Rate(MB/s),
946176,0,0,3188.59,0.352829,0.004,0.00141132,
946176,0,0,8569.35,0.340026,0.004,0.0013601,
974848,0,0,1396.51,0.147773,0.004,0.000591092,
946176,0,0,12069,0.146306,0.004,0.000585224,
946176,0,0,2695.73,0.14452,0.004,0.00057808,
974848,0,0,9945.65,0.143777,0.004,0.000575108,
946176,0,0,9988.01,0.140243,0.004,0.000560972,
974848,0,0,5440.41,0.139823,0.004,0.000559292,
974848,0,0,4632.05,0.13974,0.004,0.00055896,
974848,0,0,4969.91,0.138636,0.004,0.000554544,



Guidance Parameters
Parameter,Element,Value,
MIGRATE_MEM,host,4112,
PLRAM_DEVICE,all,0,
HBM_DEVICE,all,0,
KDMA_DEVICE,all,0,
P2P_DEVICE,all,0,
P2P_HOST_TRANSFERS,host,0,
OBJECTS_RELEASED,all,1,
CU_CONTEXT_EN,all,0,
TRACE_MEMORY,all,FIFO,
MAX_PARALLEL_KERNEL_ENQUEUES,GIN_compute_one_graph,1,
COMMAND_QUEUE_OOO,94027316324208,0,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|node_feature_in|HBM[0]|1,7200,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|edge_list_in|HBM[0]|1,4000,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|edge_attr_in|HBM[0]|1,6000,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|graph_attr|HBM[0]|1,12,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|task_r|HBM[0]|1,4,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|gnn_node_mlp_1_weights_fixed|HBM[0]|1,400000,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|gnn_node_mlp_1_bias_fixed|HBM[0]|1,4000,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|gnn_node_mlp_2_weights_fixed|HBM[0]|1,400000,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|gnn_node_mlp_2_bias_fixed|HBM[0]|1,2000,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|gnn_node_embedding_fixed|HBM[0]|1,69200,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|gnn_edge_embedding_fixed|HBM[0]|1,26000,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|graph_pred_linear_weight_fixed|HBM[0]|1,400,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|graph_pred_linear_bias_fixed|HBM[0]|1,4,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|eps_fixed|HBM[0]|1,20,
XRT_INI_SETTING,profile,0,
XRT_INI_SETTING,opencl_summary,1,
XRT_INI_SETTING,opencl_device_counter,0,
XRT_INI_SETTING,timeline_trace,0,
XRT_INI_SETTING,opencl_trace,1,
XRT_INI_SETTING,xrt_trace,0,
XRT_INI_SETTING,native_xrt_trace,0,
XRT_INI_SETTING,xrt_profile,0,
XRT_INI_SETTING,data_transfer_trace,off,
XRT_INI_SETTING,power_profile,0,
XRT_INI_SETTING,power_profile_interval_ms,20,
XRT_INI_SETTING,stall_trace,off,
XRT_INI_SETTING,trace_buffer_size,1M,
XRT_INI_SETTING,verbosity,4,
XRT_INI_SETTING,continuous_trace,0,
XRT_INI_SETTING,continuous_trace_interval_ms,10,
XRT_INI_SETTING,trace_buffer_offload_interval_ms,10,
XRT_INI_SETTING,trace_file_dump_interval_s,5,
XRT_INI_SETTING,lop_trace,0,
XRT_INI_SETTING,debug_mode,batch,
XRT_INI_SETTING,aie_trace,0,
XRT_INI_SETTING,aie_trace_buffer_size,8M,
XRT_INI_SETTING,aie_trace_metrics,functions,
XRT_INI_SETTING,aie_profile,0,
XRT_INI_SETTING,aie_profile_interval_us,1000,
XRT_INI_SETTING,aie_profile_core_metrics,heat_map,
XRT_INI_SETTING,aie_profile_memory_metrics,dma_locks,
XRT_INI_SETTING,vitis_ai_profile,0,
XRT_INI_SETTING,sc_profile,0,
BUFFER_RD_ACTIVE_TIME_MS,all,259.121,
BUFFER_WR_ACTIVE_TIME_MS,all,529.138,
BUFFER_TX_ACTIVE_TIME_MS,all,12281.8,
APPLICATION_RUN_TIME_MS,all,14867.3,
TOTAL_KERNEL_RUN_TIME_MS,all,0,
