Profile Summary
Generated on: 2021-12-19 16:42:31
Msec since Epoch: 1639950151560
Profiled application: host
Target platform: Xilinx
Tool version: 2021.1
XRT build version: 2.11.634
Build version branch: 2021.1
Build version hash: 5ad5998d67080f00bca5bf15b3838cf35e0a7b26
Build version date: N/A
Target devices: 
Flow mode: System Run

OpenCL API Calls
API Name,Number Of Calls,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),
clCreateBuffer,6979,193.87,0.009171,0.0277791,1.34715,
clCreateCommandQueue,1,0.009133,0.009133,0.009133,0.009133,
clCreateContext,1,43.0185,43.0185,43.0185,43.0185,
clCreateKernel,1,19.7578,19.7578,19.7578,19.7578,
clCreateProgramWithBinary,1,2664.16,2664.16,2664.16,2664.16,
clEnqueueMigrateMemObjects,1394,10.4564,0.00447,0.00750103,0.053027,
clEnqueueTask,1394,133.492,0.042823,0.0957621,36.6622,
clFinish,1394,1812.14,0.925787,1.29995,5.60067,
clGetDeviceIDs,5,0.098879,0.001749,0.0197758,0.081438,
clGetDeviceInfo,2,18.3648,0.002973,9.18238,18.3618,
clGetExtensionFunctionAddress,2,0.036416,0.006293,0.018208,0.030123,
clGetExtensionFunctionAddressForPlatform,2,0.018859,0.002646,0.0094295,0.016213,
clGetPlatformInfo,6,0.014074,0.001202,0.00234567,0.00579,
clReleaseCommandQueue,1,0.007304,0.007304,0.007304,0.007304,
clReleaseContext,1,69.2772,69.2772,69.2772,69.2772,
clReleaseDevice,5,0.015152,0.001169,0.0030304,0.005551,
clReleaseKernel,1,4.32332,4.32332,4.32332,4.32332,
clReleaseMemObject,9767,21.7869,0.000811,0.00223067,0.179832,
clReleaseProgram,1,0.004244,0.004244,0.004244,0.004244,
clRetainDevice,5,0.016106,0.000866,0.0032212,0.008329,
clRetainMemObject,2788,6.92279,0.001133,0.00248307,0.05245,
clSetKernelArg,6979,61.9239,0.000693,0.00887288,0.103393,

Kernel Execution
Kernel,Number Of Enqueues,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),
GIN_compute_one_graph,1394,1372.26,0.729953,0.984406,3.65383,

Top Kernel Execution
Kernel Instance Address,Kernel,Context ID,Command Queue ID,Device,Start Time (ms),Duration (ms),Global Work Size,Local Work Size,
94454797650160,GIN_compute_one_graph,0,0,xilinx_u50_gen3x16_xdma_201920_3-0,4437.92,3.65383,1:1:1,1:1:1,
94454797650160,GIN_compute_one_graph,0,0,xilinx_u50_gen3x16_xdma_201920_3-0,3257.51,2.92836,1:1:1,1:1:1,
94454797650160,GIN_compute_one_graph,0,0,xilinx_u50_gen3x16_xdma_201920_3-0,4317.16,1.31847,1:1:1,1:1:1,
94454797650160,GIN_compute_one_graph,0,0,xilinx_u50_gen3x16_xdma_201920_3-0,4280.48,1.31413,1:1:1,1:1:1,
94454797650160,GIN_compute_one_graph,0,0,xilinx_u50_gen3x16_xdma_201920_3-0,5120.37,1.26176,1:1:1,1:1:1,
94454797650160,GIN_compute_one_graph,0,0,xilinx_u50_gen3x16_xdma_201920_3-0,4284.69,1.25574,1:1:1,1:1:1,
94454797650160,GIN_compute_one_graph,0,0,xilinx_u50_gen3x16_xdma_201920_3-0,3989.75,1.24725,1:1:1,1:1:1,
94454797650160,GIN_compute_one_graph,0,0,xilinx_u50_gen3x16_xdma_201920_3-0,3469.36,1.23788,1:1:1,1:1:1,
94454797650160,GIN_compute_one_graph,0,0,xilinx_u50_gen3x16_xdma_201920_3-0,3853.8,1.23207,1:1:1,1:1:1,
94454797650160,GIN_compute_one_graph,0,0,xilinx_u50_gen3x16_xdma_201920_3-0,4302.64,1.23023,1:1:1,1:1:1,

Top Memory Writes: Host to Global Memory
Buffer Address,Context ID,Command Queue ID,Start Time (ms),Duration (ms),Buffer Size (KB),Writing Rate(MB/s),
946176,0,0,4193.44,0.659363,17.216,11.3516,
974848,0,0,4284.1,0.558547,17.216,9.61595,
917504,0,0,3257.01,0.44586,918.84,409.674,
974848,0,0,3845.91,0.236476,17.216,4.07117,
974848,0,0,4248.2,0.234944,17.216,4.0448,
946176,0,0,3798.96,0.233517,17.216,4.02023,
974848,0,0,4587.08,0.23327,17.216,4.01598,
974848,0,0,3861.24,0.23313,17.216,4.01357,
946176,0,0,4641.55,0.230937,17.216,3.97581,
974848,0,0,3337.34,0.229827,17.216,3.9567,

Top Memory Reads: Host to Global Memory
Buffer Address,Context ID,Command Queue ID,Start Time (ms),Duration (ms),Buffer Size (KB),Reading Rate(MB/s),
974848,0,0,4697.16,4.35848,0.004,0.0174339,
974848,0,0,6077.36,0.157986,0.004,0.000631944,
974848,0,0,3796.87,0.154327,0.004,0.000617308,
974848,0,0,6137.69,0.152633,0.004,0.000610532,
974848,0,0,4765.34,0.14633,0.004,0.00058532,
974848,0,0,7888.16,0.14503,0.004,0.00058012,
974848,0,0,4444.75,0.14466,0.004,0.00057864,
946176,0,0,4762.14,0.144053,0.004,0.000576212,
946176,0,0,3356.04,0.14351,0.004,0.00057404,
946176,0,0,4483,0.143136,0.004,0.000572544,



Guidance Parameters
Parameter,Element,Value,
MIGRATE_MEM,host,1394,
PLRAM_DEVICE,all,0,
HBM_DEVICE,all,0,
KDMA_DEVICE,all,0,
P2P_DEVICE,all,0,
P2P_HOST_TRANSFERS,host,0,
OBJECTS_RELEASED,all,1,
CU_CONTEXT_EN,all,0,
TRACE_MEMORY,all,FIFO,
MAX_PARALLEL_KERNEL_ENQUEUES,GIN_compute_one_graph,1,
COMMAND_QUEUE_OOO,94454797696656,0,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|node_feature_in|HBM[0]|1,7200,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|edge_list_in|HBM[0]|1,4000,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|edge_attr_in|HBM[0]|1,6000,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|graph_attr|HBM[0]|1,12,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|task_r|HBM[0]|1,4,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|gnn_node_mlp_1_weights_fixed|HBM[0]|1,400000,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|gnn_node_mlp_1_bias_fixed|HBM[0]|1,4000,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|gnn_node_mlp_2_weights_fixed|HBM[0]|1,400000,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|gnn_node_mlp_2_bias_fixed|HBM[0]|1,2000,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|gnn_node_embedding_fixed|HBM[0]|1,69200,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|gnn_edge_embedding_fixed|HBM[0]|1,26000,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|graph_pred_linear_weight_fixed|HBM[0]|1,400,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|graph_pred_linear_bias_fixed|HBM[0]|1,4,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|eps_fixed|HBM[0]|1,20,
XRT_INI_SETTING,profile,0,
XRT_INI_SETTING,opencl_summary,1,
XRT_INI_SETTING,opencl_device_counter,0,
XRT_INI_SETTING,timeline_trace,0,
XRT_INI_SETTING,opencl_trace,1,
XRT_INI_SETTING,xrt_trace,0,
XRT_INI_SETTING,native_xrt_trace,0,
XRT_INI_SETTING,xrt_profile,0,
XRT_INI_SETTING,data_transfer_trace,off,
XRT_INI_SETTING,power_profile,0,
XRT_INI_SETTING,power_profile_interval_ms,20,
XRT_INI_SETTING,stall_trace,off,
XRT_INI_SETTING,trace_buffer_size,1M,
XRT_INI_SETTING,verbosity,4,
XRT_INI_SETTING,continuous_trace,0,
XRT_INI_SETTING,continuous_trace_interval_ms,10,
XRT_INI_SETTING,trace_buffer_offload_interval_ms,10,
XRT_INI_SETTING,trace_file_dump_interval_s,5,
XRT_INI_SETTING,lop_trace,0,
XRT_INI_SETTING,debug_mode,batch,
XRT_INI_SETTING,aie_trace,0,
XRT_INI_SETTING,aie_trace_buffer_size,8M,
XRT_INI_SETTING,aie_trace_metrics,functions,
XRT_INI_SETTING,aie_profile,0,
XRT_INI_SETTING,aie_profile_interval_us,1000,
XRT_INI_SETTING,aie_profile_core_metrics,heat_map,
XRT_INI_SETTING,aie_profile_memory_metrics,dma_locks,
XRT_INI_SETTING,vitis_ai_profile,0,
XRT_INI_SETTING,sc_profile,0,
BUFFER_RD_ACTIVE_TIME_MS,all,140.699,
BUFFER_WR_ACTIVE_TIME_MS,all,219.521,
BUFFER_TX_ACTIVE_TIME_MS,all,4682.08,
APPLICATION_RUN_TIME_MS,all,8768.42,
TOTAL_KERNEL_RUN_TIME_MS,all,0,
