Profile Summary
Generated on: 2021-12-19 16:45:10
Msec since Epoch: 1639950310751
Profiled application: host
Target platform: Xilinx
Tool version: 2021.1
XRT build version: 2.11.634
Build version branch: 2021.1
Build version hash: 5ad5998d67080f00bca5bf15b3838cf35e0a7b26
Build version date: N/A
Target devices: 
Flow mode: System Run

OpenCL API Calls
API Name,Number Of Calls,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),
clCreateBuffer,434,16.2412,0.009703,0.0374221,1.55611,
clCreateCommandQueue,1,0.012483,0.012483,0.012483,0.012483,
clCreateContext,1,43.4427,43.4427,43.4427,43.4427,
clCreateKernel,1,15.1956,15.1956,15.1956,15.1956,
clCreateProgramWithBinary,1,192.588,192.588,192.588,192.588,
clEnqueueMigrateMemObjects,85,0.570808,0.003413,0.00671539,0.01088,
clEnqueueTask,85,18.606,0.033447,0.218894,13.5116,
clFinish,85,133.41,1.23109,1.56953,3.59527,
clGetDeviceIDs,5,0.110987,0.001757,0.0221974,0.092673,
clGetDeviceInfo,2,18.335,0.003215,9.16749,18.3318,
clGetExtensionFunctionAddress,2,0.046103,0.006107,0.0230515,0.039996,
clGetExtensionFunctionAddressForPlatform,2,0.018033,0.002423,0.0090165,0.01561,
clGetPlatformInfo,6,0.02069,0.001223,0.00344833,0.011677,
clReleaseCommandQueue,1,0.0066,0.0066,0.0066,0.0066,
clReleaseContext,1,51.3865,51.3865,51.3865,51.3865,
clReleaseDevice,5,0.012925,0.000806,0.002585,0.004879,
clReleaseKernel,1,3.44671,3.44671,3.44671,3.44671,
clReleaseMemObject,604,1.37184,0.000797,0.00227126,0.035795,
clReleaseProgram,1,0.002479,0.002479,0.002479,0.002479,
clRetainDevice,5,0.01953,0.000858,0.003906,0.010632,
clRetainMemObject,170,0.506241,0.000884,0.00297789,0.03298,
clSetKernelArg,434,3.88895,0.000729,0.00896071,0.029358,

Kernel Execution
Kernel,Number Of Enqueues,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),
GIN_compute_one_graph,85,110.29,0.981867,1.29752,3.16497,

Top Kernel Execution
Kernel Instance Address,Kernel,Context ID,Command Queue ID,Device,Start Time (ms),Duration (ms),Global Work Size,Local Work Size,
94409592146160,GIN_compute_one_graph,0,0,xilinx_u50_gen3x16_xdma_201920_3-0,763.331,3.16497,1:1:1,1:1:1,
94409592146160,GIN_compute_one_graph,0,0,xilinx_u50_gen3x16_xdma_201920_3-0,953.456,1.56414,1:1:1,1:1:1,
94409592146160,GIN_compute_one_graph,0,0,xilinx_u50_gen3x16_xdma_201920_3-0,871.423,1.56145,1:1:1,1:1:1,
94409592146160,GIN_compute_one_graph,0,0,xilinx_u50_gen3x16_xdma_201920_3-0,1022,1.54767,1:1:1,1:1:1,
94409592146160,GIN_compute_one_graph,0,0,xilinx_u50_gen3x16_xdma_201920_3-0,892.53,1.53732,1:1:1,1:1:1,
94409592146160,GIN_compute_one_graph,0,0,xilinx_u50_gen3x16_xdma_201920_3-0,878.835,1.52489,1:1:1,1:1:1,
94409592146160,GIN_compute_one_graph,0,0,xilinx_u50_gen3x16_xdma_201920_3-0,910.143,1.52428,1:1:1,1:1:1,
94409592146160,GIN_compute_one_graph,0,0,xilinx_u50_gen3x16_xdma_201920_3-0,1065.73,1.52406,1:1:1,1:1:1,
94409592146160,GIN_compute_one_graph,0,0,xilinx_u50_gen3x16_xdma_201920_3-0,895.88,1.51866,1:1:1,1:1:1,
94409592146160,GIN_compute_one_graph,0,0,xilinx_u50_gen3x16_xdma_201920_3-0,949.623,1.51041,1:1:1,1:1:1,

Top Memory Writes: Host to Global Memory
Buffer Address,Context ID,Command Queue ID,Start Time (ms),Duration (ms),Buffer Size (KB),Writing Rate(MB/s),
917504,0,0,762.926,0.365468,918.84,335.807,
974848,0,0,867.482,0.191064,17.216,3.28936,
946176,0,0,979.082,0.168413,17.216,2.8994,
974848,0,0,975.167,0.16459,17.216,2.83358,
946176,0,0,987.582,0.163596,17.216,2.81647,
946176,0,0,941.54,0.161203,17.216,2.77527,
974848,0,0,909.963,0.159503,17.216,2.746,
946176,0,0,1014.41,0.15767,17.216,2.71445,
946176,0,0,934.356,0.156554,17.216,2.69523,
974848,0,0,945.403,0.15534,17.216,2.67433,

Top Memory Reads: Host to Global Memory
Buffer Address,Context ID,Command Queue ID,Start Time (ms),Duration (ms),Buffer Size (KB),Reading Rate(MB/s),
974848,0,0,925.654,0.10701,0.004,0.00042804,
974848,0,0,947.054,0.106886,0.004,0.000427544,
974848,0,0,932.151,0.101816,0.004,0.000407264,
946176,0,0,935.798,0.100049,0.004,0.000400196,
946176,0,0,943.01,0.09892,0.004,0.00039568,
946176,0,0,928.897,0.09877,0.004,0.00039508,
974848,0,0,890.465,0.098633,0.004,0.000394532,
946176,0,0,995.535,0.094316,0.004,0.000377264,
974848,0,0,976.86,0.094077,0.004,0.000376308,
974848,0,0,984.042,0.09319,0.004,0.00037276,



Guidance Parameters
Parameter,Element,Value,
MIGRATE_MEM,host,85,
PLRAM_DEVICE,all,0,
HBM_DEVICE,all,0,
KDMA_DEVICE,all,0,
P2P_DEVICE,all,0,
P2P_HOST_TRANSFERS,host,0,
OBJECTS_RELEASED,all,1,
CU_CONTEXT_EN,all,0,
TRACE_MEMORY,all,FIFO,
MAX_PARALLEL_KERNEL_ENQUEUES,GIN_compute_one_graph,1,
COMMAND_QUEUE_OOO,94409592192656,0,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|node_feature_in|HBM[0]|1,7200,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|edge_list_in|HBM[0]|1,4000,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|edge_attr_in|HBM[0]|1,6000,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|graph_attr|HBM[0]|1,12,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|task_r|HBM[0]|1,4,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|gnn_node_mlp_1_weights_fixed|HBM[0]|1,400000,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|gnn_node_mlp_1_bias_fixed|HBM[0]|1,4000,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|gnn_node_mlp_2_weights_fixed|HBM[0]|1,400000,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|gnn_node_mlp_2_bias_fixed|HBM[0]|1,2000,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|gnn_node_embedding_fixed|HBM[0]|1,69200,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|gnn_edge_embedding_fixed|HBM[0]|1,26000,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|graph_pred_linear_weight_fixed|HBM[0]|1,400,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|graph_pred_linear_bias_fixed|HBM[0]|1,4,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|eps_fixed|HBM[0]|1,20,
XRT_INI_SETTING,profile,0,
XRT_INI_SETTING,opencl_summary,1,
XRT_INI_SETTING,opencl_device_counter,0,
XRT_INI_SETTING,timeline_trace,0,
XRT_INI_SETTING,opencl_trace,1,
XRT_INI_SETTING,xrt_trace,0,
XRT_INI_SETTING,native_xrt_trace,0,
XRT_INI_SETTING,xrt_profile,0,
XRT_INI_SETTING,data_transfer_trace,off,
XRT_INI_SETTING,power_profile,0,
XRT_INI_SETTING,power_profile_interval_ms,20,
XRT_INI_SETTING,stall_trace,off,
XRT_INI_SETTING,trace_buffer_size,1M,
XRT_INI_SETTING,verbosity,4,
XRT_INI_SETTING,continuous_trace,0,
XRT_INI_SETTING,continuous_trace_interval_ms,10,
XRT_INI_SETTING,trace_buffer_offload_interval_ms,10,
XRT_INI_SETTING,trace_file_dump_interval_s,5,
XRT_INI_SETTING,lop_trace,0,
XRT_INI_SETTING,debug_mode,batch,
XRT_INI_SETTING,aie_trace,0,
XRT_INI_SETTING,aie_trace_buffer_size,8M,
XRT_INI_SETTING,aie_trace_metrics,functions,
XRT_INI_SETTING,aie_profile,0,
XRT_INI_SETTING,aie_profile_interval_us,1000,
XRT_INI_SETTING,aie_profile_core_metrics,heat_map,
XRT_INI_SETTING,aie_profile_memory_metrics,dma_locks,
XRT_INI_SETTING,vitis_ai_profile,0,
XRT_INI_SETTING,sc_profile,0,
BUFFER_RD_ACTIVE_TIME_MS,all,6.14127,
BUFFER_WR_ACTIVE_TIME_MS,all,11.8518,
BUFFER_TX_ACTIVE_TIME_MS,all,304.424,
APPLICATION_RUN_TIME_MS,all,1132.61,
TOTAL_KERNEL_RUN_TIME_MS,all,0,
