Profile Summary
Generated on: 2021-12-19 16:45:39
Msec since Epoch: 1639950339248
Profiled application: host
Target platform: Xilinx
Tool version: 2021.1
XRT build version: 2.11.634
Build version branch: 2021.1
Build version hash: 5ad5998d67080f00bca5bf15b3838cf35e0a7b26
Build version date: N/A
Target devices: 
Flow mode: System Run

OpenCL API Calls
API Name,Number Of Calls,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),
clCreateBuffer,2274,78.2725,0.009148,0.0344206,3.28227,
clCreateCommandQueue,1,0.010245,0.010245,0.010245,0.010245,
clCreateContext,1,46.197,46.197,46.197,46.197,
clCreateKernel,1,19.2566,19.2566,19.2566,19.2566,
clCreateProgramWithBinary,1,191.914,191.914,191.914,191.914,
clEnqueueMigrateMemObjects,453,3.77102,0.003884,0.00832456,0.038243,
clEnqueueTask,453,46.2249,0.036738,0.102042,13.4406,
clFinish,453,716.474,1.20505,1.58162,3.6219,
clGetDeviceIDs,5,0.136011,0.001477,0.0272022,0.119583,
clGetDeviceInfo,2,17.6381,0.002817,8.81905,17.6353,
clGetExtensionFunctionAddress,2,0.047153,0.00607,0.0235765,0.041083,
clGetExtensionFunctionAddressForPlatform,2,0.01734,0.00236,0.00867,0.01498,
clGetPlatformInfo,6,0.021594,0.000805,0.003599,0.009733,
clReleaseCommandQueue,1,0.006997,0.006997,0.006997,0.006997,
clReleaseContext,1,48.6131,48.6131,48.6131,48.6131,
clReleaseDevice,5,0.02341,0.001306,0.004682,0.0107,
clReleaseKernel,1,3.5187,3.5187,3.5187,3.5187,
clReleaseMemObject,3180,7.55154,0.000858,0.0023747,0.057463,
clReleaseProgram,1,0.004707,0.004707,0.004707,0.004707,
clRetainDevice,5,0.0183,0.000922,0.00366,0.01129,
clRetainMemObject,906,2.56861,0.000989,0.00283511,0.02421,
clSetKernelArg,2274,22.8506,0.000756,0.0100486,0.054486,

Kernel Execution
Kernel,Number Of Enqueues,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),
GIN_compute_one_graph,453,564.117,0.946973,1.24529,3.41211,

Top Kernel Execution
Kernel Instance Address,Kernel,Context ID,Command Queue ID,Device,Start Time (ms),Duration (ms),Global Work Size,Local Work Size,
94143374821616,GIN_compute_one_graph,0,0,xilinx_u50_gen3x16_xdma_201920_3-0,783.446,3.41211,1:1:1,1:1:1,
94143374821616,GIN_compute_one_graph,0,0,xilinx_u50_gen3x16_xdma_201920_3-0,1582.28,1.58171,1:1:1,1:1:1,
94143374821616,GIN_compute_one_graph,0,0,xilinx_u50_gen3x16_xdma_201920_3-0,1295.55,1.55619,1:1:1,1:1:1,
94143374821616,GIN_compute_one_graph,0,0,xilinx_u50_gen3x16_xdma_201920_3-0,1781.71,1.55423,1:1:1,1:1:1,
94143374821616,GIN_compute_one_graph,0,0,xilinx_u50_gen3x16_xdma_201920_3-0,1956.51,1.54102,1:1:1,1:1:1,
94143374821616,GIN_compute_one_graph,0,0,xilinx_u50_gen3x16_xdma_201920_3-0,1937.32,1.53677,1:1:1,1:1:1,
94143374821616,GIN_compute_one_graph,0,0,xilinx_u50_gen3x16_xdma_201920_3-0,1344.65,1.52469,1:1:1,1:1:1,
94143374821616,GIN_compute_one_graph,0,0,xilinx_u50_gen3x16_xdma_201920_3-0,1154.27,1.52411,1:1:1,1:1:1,
94143374821616,GIN_compute_one_graph,0,0,xilinx_u50_gen3x16_xdma_201920_3-0,1574.58,1.51187,1:1:1,1:1:1,
94143374821616,GIN_compute_one_graph,0,0,xilinx_u50_gen3x16_xdma_201920_3-0,1850.77,1.50347,1:1:1,1:1:1,

Top Memory Writes: Host to Global Memory
Buffer Address,Context ID,Command Queue ID,Start Time (ms),Duration (ms),Buffer Size (KB),Writing Rate(MB/s),
974848,0,0,1027.81,0.59674,17.216,10.2735,
917504,0,0,783.036,0.373496,918.84,343.183,
946176,0,0,1177,0.23893,17.216,4.11342,
974848,0,0,1484.1,0.23326,17.216,4.0158,
946176,0,0,1434.7,0.2332,17.216,4.01477,
946176,0,0,1662.83,0.230054,17.216,3.96061,
946176,0,0,1275.92,0.225803,17.216,3.88742,
946176,0,0,1761.12,0.221323,17.216,3.8103,
946176,0,0,2140.25,0.22091,17.216,3.80319,
946176,0,0,1352.5,0.220857,17.216,3.80227,

Top Memory Reads: Host to Global Memory
Buffer Address,Context ID,Command Queue ID,Start Time (ms),Duration (ms),Buffer Size (KB),Reading Rate(MB/s),
946176,0,0,1473.59,0.151003,0.004,0.000604012,
946176,0,0,2149.18,0.146984,0.004,0.000587936,
974848,0,0,2197.12,0.145817,0.004,0.000583268,
974848,0,0,1485.5,0.144656,0.004,0.000578624,
946176,0,0,1724.96,0.143957,0.004,0.000575828,
974848,0,0,1530.86,0.14315,0.004,0.0005726,
946176,0,0,1610.72,0.14179,0.004,0.00056716,
946176,0,0,2007.63,0.14179,0.004,0.00056716,
946176,0,0,2275.47,0.141157,0.004,0.000564628,
946176,0,0,1848.36,0.140423,0.004,0.000561692,



Guidance Parameters
Parameter,Element,Value,
MIGRATE_MEM,host,453,
PLRAM_DEVICE,all,0,
HBM_DEVICE,all,0,
KDMA_DEVICE,all,0,
P2P_DEVICE,all,0,
P2P_HOST_TRANSFERS,host,0,
OBJECTS_RELEASED,all,1,
CU_CONTEXT_EN,all,0,
TRACE_MEMORY,all,FIFO,
MAX_PARALLEL_KERNEL_ENQUEUES,GIN_compute_one_graph,1,
COMMAND_QUEUE_OOO,94143374868112,0,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|node_feature_in|HBM[0]|1,7200,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|edge_list_in|HBM[0]|1,4000,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|edge_attr_in|HBM[0]|1,6000,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|graph_attr|HBM[0]|1,12,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|task_r|HBM[0]|1,4,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|gnn_node_mlp_1_weights_fixed|HBM[0]|1,400000,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|gnn_node_mlp_1_bias_fixed|HBM[0]|1,4000,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|gnn_node_mlp_2_weights_fixed|HBM[0]|1,400000,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|gnn_node_mlp_2_bias_fixed|HBM[0]|1,2000,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|gnn_node_embedding_fixed|HBM[0]|1,69200,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|gnn_edge_embedding_fixed|HBM[0]|1,26000,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|graph_pred_linear_weight_fixed|HBM[0]|1,400,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|graph_pred_linear_bias_fixed|HBM[0]|1,4,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|eps_fixed|HBM[0]|1,20,
XRT_INI_SETTING,profile,0,
XRT_INI_SETTING,opencl_summary,1,
XRT_INI_SETTING,opencl_device_counter,0,
XRT_INI_SETTING,timeline_trace,0,
XRT_INI_SETTING,opencl_trace,1,
XRT_INI_SETTING,xrt_trace,0,
XRT_INI_SETTING,native_xrt_trace,0,
XRT_INI_SETTING,xrt_profile,0,
XRT_INI_SETTING,data_transfer_trace,off,
XRT_INI_SETTING,power_profile,0,
XRT_INI_SETTING,power_profile_interval_ms,20,
XRT_INI_SETTING,stall_trace,off,
XRT_INI_SETTING,trace_buffer_size,1M,
XRT_INI_SETTING,verbosity,4,
XRT_INI_SETTING,continuous_trace,0,
XRT_INI_SETTING,continuous_trace_interval_ms,10,
XRT_INI_SETTING,trace_buffer_offload_interval_ms,10,
XRT_INI_SETTING,trace_file_dump_interval_s,5,
XRT_INI_SETTING,lop_trace,0,
XRT_INI_SETTING,debug_mode,batch,
XRT_INI_SETTING,aie_trace,0,
XRT_INI_SETTING,aie_trace_buffer_size,8M,
XRT_INI_SETTING,aie_trace_metrics,functions,
XRT_INI_SETTING,aie_profile,0,
XRT_INI_SETTING,aie_profile_interval_us,1000,
XRT_INI_SETTING,aie_profile_core_metrics,heat_map,
XRT_INI_SETTING,aie_profile_memory_metrics,dma_locks,
XRT_INI_SETTING,vitis_ai_profile,0,
XRT_INI_SETTING,sc_profile,0,
BUFFER_RD_ACTIVE_TIME_MS,all,48.6131,
BUFFER_WR_ACTIVE_TIME_MS,all,79.2981,
BUFFER_TX_ACTIVE_TIME_MS,all,1693.6,
APPLICATION_RUN_TIME_MS,all,2749.02,
TOTAL_KERNEL_RUN_TIME_MS,all,0,
