Profile Summary
Generated on: 2021-12-19 16:46:20
Msec since Epoch: 1639950380290
Profiled application: host
Target platform: Xilinx
Tool version: 2021.1
XRT build version: 2.11.634
Build version branch: 2021.1
Build version hash: 5ad5998d67080f00bca5bf15b3838cf35e0a7b26
Build version date: N/A
Target devices: 
Flow mode: System Run

OpenCL API Calls
API Name,Number Of Calls,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),
clCreateBuffer,4964,162.064,0.009686,0.0326478,4.42035,
clCreateCommandQueue,1,0.009109,0.009109,0.009109,0.009109,
clCreateContext,1,45.5388,45.5388,45.5388,45.5388,
clCreateKernel,1,19.105,19.105,19.105,19.105,
clCreateProgramWithBinary,1,186.778,186.778,186.778,186.778,
clEnqueueMigrateMemObjects,991,7.76818,0.00371,0.00783873,0.03103,
clEnqueueTask,991,83.6564,0.037318,0.0844161,13.6801,
clFinish,991,1637.67,1.25112,1.65255,3.46497,
clGetDeviceIDs,5,0.115836,0.001773,0.0231672,0.096793,
clGetDeviceInfo,2,17.4046,0.002998,8.70232,17.4016,
clGetExtensionFunctionAddress,2,0.04698,0.0066,0.02349,0.04038,
clGetExtensionFunctionAddressForPlatform,2,0.018434,0.00265,0.009217,0.015784,
clGetPlatformInfo,6,0.019756,0.001143,0.00329267,0.011363,
clReleaseCommandQueue,1,0.007384,0.007384,0.007384,0.007384,
clReleaseContext,1,49.6108,49.6108,49.6108,49.6108,
clReleaseDevice,5,0.013383,0.001027,0.0026766,0.004823,
clReleaseKernel,1,4.62652,4.62652,4.62652,4.62652,
clReleaseMemObject,6946,16.6155,0.000808,0.0023921,0.278346,
clReleaseProgram,1,0.017537,0.017537,0.017537,0.017537,
clRetainDevice,5,0.017845,0.000958,0.003569,0.009453,
clRetainMemObject,1982,5.54417,0.000884,0.00279726,0.08207,
clSetKernelArg,4964,51.3747,0.000679,0.0103494,7.02269,

Kernel Execution
Kernel,Number Of Enqueues,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),
GIN_compute_one_graph,991,1345.2,0.980599,1.35742,3.32956,

Top Kernel Execution
Kernel Instance Address,Kernel,Context ID,Command Queue ID,Device,Start Time (ms),Duration (ms),Global Work Size,Local Work Size,
94501658466544,GIN_compute_one_graph,0,0,xilinx_u50_gen3x16_xdma_201920_3-0,732.734,3.32956,1:1:1,1:1:1,
94501658466544,GIN_compute_one_graph,0,0,xilinx_u50_gen3x16_xdma_201920_3-0,4405.39,1.67995,1:1:1,1:1:1,
94501658466544,GIN_compute_one_graph,0,0,xilinx_u50_gen3x16_xdma_201920_3-0,1917.58,1.67988,1:1:1,1:1:1,
94501658466544,GIN_compute_one_graph,0,0,xilinx_u50_gen3x16_xdma_201920_3-0,4487.63,1.67236,1:1:1,1:1:1,
94501658466544,GIN_compute_one_graph,0,0,xilinx_u50_gen3x16_xdma_201920_3-0,1357.78,1.67016,1:1:1,1:1:1,
94501658466544,GIN_compute_one_graph,0,0,xilinx_u50_gen3x16_xdma_201920_3-0,4464.38,1.66631,1:1:1,1:1:1,
94501658466544,GIN_compute_one_graph,0,0,xilinx_u50_gen3x16_xdma_201920_3-0,1414.24,1.666,1:1:1,1:1:1,
94501658466544,GIN_compute_one_graph,0,0,xilinx_u50_gen3x16_xdma_201920_3-0,1527.87,1.6614,1:1:1,1:1:1,
94501658466544,GIN_compute_one_graph,0,0,xilinx_u50_gen3x16_xdma_201920_3-0,4456,1.65961,1:1:1,1:1:1,
94501658466544,GIN_compute_one_graph,0,0,xilinx_u50_gen3x16_xdma_201920_3-0,3072.26,1.65911,1:1:1,1:1:1,

Top Memory Writes: Host to Global Memory
Buffer Address,Context ID,Command Queue ID,Start Time (ms),Duration (ms),Buffer Size (KB),Writing Rate(MB/s),
917504,0,0,732.246,0.39891,918.84,366.534,
946176,0,0,1507.57,0.231784,17.216,3.99039,
946176,0,0,1917.31,0.231703,17.216,3.989,
946176,0,0,1108.11,0.229857,17.216,3.95722,
974848,0,0,1127.75,0.22527,17.216,3.87825,
974848,0,0,3315.22,0.22085,17.216,3.80215,
974848,0,0,2328.95,0.220463,17.216,3.79549,
946176,0,0,2324.77,0.22015,17.216,3.7901,
946176,0,0,2722.24,0.21844,17.216,3.76066,
974848,0,0,1496.09,0.218114,17.216,3.75505,

Top Memory Reads: Host to Global Memory
Buffer Address,Context ID,Command Queue ID,Start Time (ms),Duration (ms),Buffer Size (KB),Reading Rate(MB/s),
946176,0,0,1841.25,0.14672,0.004,0.00058688,
974848,0,0,1474.47,0.140954,0.004,0.000563816,
974848,0,0,3502.2,0.14027,0.004,0.00056108,
974848,0,0,1751.75,0.14024,0.004,0.00056096,
946176,0,0,3245.1,0.13869,0.004,0.00055476,
974848,0,0,2712.07,0.13813,0.004,0.00055252,
974848,0,0,1203.69,0.136103,0.004,0.000544412,
974848,0,0,3376.15,0.13568,0.004,0.00054272,
946176,0,0,2144.21,0.13547,0.004,0.00054188,
974848,0,0,2675.4,0.13501,0.004,0.00054004,



Guidance Parameters
Parameter,Element,Value,
MIGRATE_MEM,host,991,
PLRAM_DEVICE,all,0,
HBM_DEVICE,all,0,
KDMA_DEVICE,all,0,
P2P_DEVICE,all,0,
P2P_HOST_TRANSFERS,host,0,
OBJECTS_RELEASED,all,1,
CU_CONTEXT_EN,all,0,
TRACE_MEMORY,all,FIFO,
MAX_PARALLEL_KERNEL_ENQUEUES,GIN_compute_one_graph,1,
COMMAND_QUEUE_OOO,94501658513040,0,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|node_feature_in|HBM[0]|1,7200,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|edge_list_in|HBM[0]|1,4000,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|edge_attr_in|HBM[0]|1,6000,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|graph_attr|HBM[0]|1,12,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|task_r|HBM[0]|1,4,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|gnn_node_mlp_1_weights_fixed|HBM[0]|1,400000,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|gnn_node_mlp_1_bias_fixed|HBM[0]|1,4000,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|gnn_node_mlp_2_weights_fixed|HBM[0]|1,400000,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|gnn_node_mlp_2_bias_fixed|HBM[0]|1,2000,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|gnn_node_embedding_fixed|HBM[0]|1,69200,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|gnn_edge_embedding_fixed|HBM[0]|1,26000,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|graph_pred_linear_weight_fixed|HBM[0]|1,400,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|graph_pred_linear_bias_fixed|HBM[0]|1,4,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|eps_fixed|HBM[0]|1,20,
XRT_INI_SETTING,profile,0,
XRT_INI_SETTING,opencl_summary,1,
XRT_INI_SETTING,opencl_device_counter,0,
XRT_INI_SETTING,timeline_trace,0,
XRT_INI_SETTING,opencl_trace,1,
XRT_INI_SETTING,xrt_trace,0,
XRT_INI_SETTING,native_xrt_trace,0,
XRT_INI_SETTING,xrt_profile,0,
XRT_INI_SETTING,data_transfer_trace,off,
XRT_INI_SETTING,power_profile,0,
XRT_INI_SETTING,power_profile_interval_ms,20,
XRT_INI_SETTING,stall_trace,off,
XRT_INI_SETTING,trace_buffer_size,1M,
XRT_INI_SETTING,verbosity,4,
XRT_INI_SETTING,continuous_trace,0,
XRT_INI_SETTING,continuous_trace_interval_ms,10,
XRT_INI_SETTING,trace_buffer_offload_interval_ms,10,
XRT_INI_SETTING,trace_file_dump_interval_s,5,
XRT_INI_SETTING,lop_trace,0,
XRT_INI_SETTING,debug_mode,batch,
XRT_INI_SETTING,aie_trace,0,
XRT_INI_SETTING,aie_trace_buffer_size,8M,
XRT_INI_SETTING,aie_trace_metrics,functions,
XRT_INI_SETTING,aie_profile,0,
XRT_INI_SETTING,aie_profile_interval_us,1000,
XRT_INI_SETTING,aie_profile_core_metrics,heat_map,
XRT_INI_SETTING,aie_profile_memory_metrics,dma_locks,
XRT_INI_SETTING,vitis_ai_profile,0,
XRT_INI_SETTING,sc_profile,0,
BUFFER_RD_ACTIVE_TIME_MS,all,93.3396,
BUFFER_WR_ACTIVE_TIME_MS,all,159.966,
BUFFER_TX_ACTIVE_TIME_MS,all,3820.77,
APPLICATION_RUN_TIME_MS,all,5030.1,
TOTAL_KERNEL_RUN_TIME_MS,all,0,
