Profile Summary
Generated on: 2021-12-19 16:46:42
Msec since Epoch: 1639950402537
Profiled application: host
Target platform: Xilinx
Tool version: 2021.1
XRT build version: 2.11.634
Build version branch: 2021.1
Build version hash: 5ad5998d67080f00bca5bf15b3838cf35e0a7b26
Build version date: N/A
Target devices: 
Flow mode: System Run

OpenCL API Calls
API Name,Number Of Calls,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),
clCreateBuffer,24,1.52955,0.010355,0.0637313,0.615488,
clCreateCommandQueue,1,0.009133,0.009133,0.009133,0.009133,
clCreateContext,1,44.4997,44.4997,44.4997,44.4997,
clCreateKernel,1,19.3466,19.3466,19.3466,19.3466,
clCreateProgramWithBinary,1,191.769,191.769,191.769,191.769,
clEnqueueMigrateMemObjects,3,0.025521,0.005818,0.008507,0.00987,
clEnqueueTask,3,19.4281,0.071003,6.47605,19.2765,
clFinish,3,6.16693,1.26941,2.05564,3.58068,
clGetDeviceIDs,5,0.1178,0.001591,0.02356,0.09576,
clGetDeviceInfo,2,17.2844,0.002953,8.64221,17.2815,
clGetExtensionFunctionAddress,2,0.047893,0.006503,0.0239465,0.04139,
clGetExtensionFunctionAddressForPlatform,2,0.01742,0.002663,0.00871,0.014757,
clGetPlatformInfo,6,0.011816,0.000853,0.00196933,0.003573,
clReleaseCommandQueue,1,0.006446,0.006446,0.006446,0.006446,
clReleaseContext,1,60.8326,60.8326,60.8326,60.8326,
clReleaseDevice,5,0.012871,0.001276,0.0025742,0.005146,
clReleaseKernel,1,3.33361,3.33361,3.33361,3.33361,
clReleaseMemObject,30,0.059064,0.000909,0.0019688,0.003727,
clReleaseProgram,1,0.003407,0.003407,0.003407,0.003407,
clRetainDevice,5,0.01296,0.000827,0.002592,0.007445,
clRetainMemObject,6,0.021362,0.001595,0.00356033,0.005034,
clSetKernelArg,24,0.114486,0.000673,0.00477025,0.01793,

Kernel Execution
Kernel,Number Of Enqueues,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),
GIN_compute_one_graph,3,5.24453,1.06685,1.74818,3.07306,

Top Kernel Execution
Kernel Instance Address,Kernel,Context ID,Command Queue ID,Device,Start Time (ms),Duration (ms),Global Work Size,Local Work Size,
94282312771824,GIN_compute_one_graph,0,0,xilinx_u50_gen3x16_xdma_201920_3-0,751.223,3.07306,1:1:1,1:1:1,
94282312771824,GIN_compute_one_graph,0,0,xilinx_u50_gen3x16_xdma_201920_3-0,760.276,1.10463,1:1:1,1:1:1,
94282312771824,GIN_compute_one_graph,0,0,xilinx_u50_gen3x16_xdma_201920_3-0,756.842,1.06685,1:1:1,1:1:1,

Top Memory Writes: Host to Global Memory
Buffer Address,Context ID,Command Queue ID,Start Time (ms),Duration (ms),Buffer Size (KB),Writing Rate(MB/s),
917504,0,0,750.781,0.401026,918.84,368.479,
946176,0,0,760.151,0.111606,17.216,1.92141,
974848,0,0,756.708,0.104156,17.216,1.79315,

Top Memory Reads: Host to Global Memory
Buffer Address,Context ID,Command Queue ID,Start Time (ms),Duration (ms),Buffer Size (KB),Reading Rate(MB/s),
974848,0,0,757.978,0.09701,0.004,0.00038804,
946176,0,0,754.355,0.095593,0.004,0.000382372,
946176,0,0,761.405,0.08058,0.004,0.00032232,



Guidance Parameters
Parameter,Element,Value,
MIGRATE_MEM,host,3,
PLRAM_DEVICE,all,0,
HBM_DEVICE,all,0,
KDMA_DEVICE,all,0,
P2P_DEVICE,all,0,
P2P_HOST_TRANSFERS,host,0,
OBJECTS_RELEASED,all,1,
CU_CONTEXT_EN,all,0,
TRACE_MEMORY,all,FIFO,
MAX_PARALLEL_KERNEL_ENQUEUES,GIN_compute_one_graph,1,
COMMAND_QUEUE_OOO,94282312818320,0,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|node_feature_in|HBM[0]|1,7200,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|edge_list_in|HBM[0]|1,4000,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|edge_attr_in|HBM[0]|1,6000,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|graph_attr|HBM[0]|1,12,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|task_r|HBM[0]|1,4,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|gnn_node_mlp_1_weights_fixed|HBM[0]|1,400000,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|gnn_node_mlp_1_bias_fixed|HBM[0]|1,4000,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|gnn_node_mlp_2_weights_fixed|HBM[0]|1,400000,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|gnn_node_mlp_2_bias_fixed|HBM[0]|1,2000,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|gnn_node_embedding_fixed|HBM[0]|1,69200,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|gnn_edge_embedding_fixed|HBM[0]|1,26000,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|graph_pred_linear_weight_fixed|HBM[0]|1,400,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|graph_pred_linear_bias_fixed|HBM[0]|1,4,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|eps_fixed|HBM[0]|1,20,
XRT_INI_SETTING,profile,0,
XRT_INI_SETTING,opencl_summary,1,
XRT_INI_SETTING,opencl_device_counter,0,
XRT_INI_SETTING,timeline_trace,0,
XRT_INI_SETTING,opencl_trace,1,
XRT_INI_SETTING,xrt_trace,0,
XRT_INI_SETTING,native_xrt_trace,0,
XRT_INI_SETTING,xrt_profile,0,
XRT_INI_SETTING,data_transfer_trace,off,
XRT_INI_SETTING,power_profile,0,
XRT_INI_SETTING,power_profile_interval_ms,20,
XRT_INI_SETTING,stall_trace,off,
XRT_INI_SETTING,trace_buffer_size,1M,
XRT_INI_SETTING,verbosity,4,
XRT_INI_SETTING,continuous_trace,0,
XRT_INI_SETTING,continuous_trace_interval_ms,10,
XRT_INI_SETTING,trace_buffer_offload_interval_ms,10,
XRT_INI_SETTING,trace_file_dump_interval_s,5,
XRT_INI_SETTING,lop_trace,0,
XRT_INI_SETTING,debug_mode,batch,
XRT_INI_SETTING,aie_trace,0,
XRT_INI_SETTING,aie_trace_buffer_size,8M,
XRT_INI_SETTING,aie_trace_metrics,functions,
XRT_INI_SETTING,aie_profile,0,
XRT_INI_SETTING,aie_profile_interval_us,1000,
XRT_INI_SETTING,aie_profile_core_metrics,heat_map,
XRT_INI_SETTING,aie_profile_memory_metrics,dma_locks,
XRT_INI_SETTING,vitis_ai_profile,0,
XRT_INI_SETTING,sc_profile,0,
