Profile Summary
Generated on: 2021-12-31 09:56:42
Msec since Epoch: 1640962602333
Profiled application: host
Target platform: Xilinx
Tool version: 2021.1
XRT build version: 2.11.634
Build version branch: 2021.1
Build version hash: 5ad5998d67080f00bca5bf15b3838cf35e0a7b26
Build version date: N/A
Target devices: 
Flow mode: System Run

OpenCL API Calls
API Name,Number Of Calls,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),
clCreateBuffer,6979,201.822,0.008038,0.0289185,1.14131,
clCreateCommandQueue,1,0.009326,0.009326,0.009326,0.009326,
clCreateContext,1,44.3441,44.3441,44.3441,44.3441,
clCreateKernel,1,30.8015,30.8015,30.8015,30.8015,
clCreateProgramWithBinary,1,2763.54,2763.54,2763.54,2763.54,
clEnqueueMigrateMemObjects,1394,11.385,0.004713,0.00816711,0.049097,
clEnqueueTask,1394,144.132,0.04344,0.103394,37.1258,
clFinish,1394,1543.78,0.78176,1.10744,7.25638,
clGetDeviceIDs,5,0.111931,0.00186,0.0223862,0.09449,
clGetDeviceInfo,2,17.5276,0.003011,8.76382,17.5246,
clGetExtensionFunctionAddress,2,0.045893,0.00582,0.0229465,0.040073,
clGetExtensionFunctionAddressForPlatform,2,0.018644,0.00239,0.009322,0.016254,
clGetPlatformInfo,6,0.01413,0.00119,0.002355,0.00571,
clReleaseCommandQueue,1,0.007167,0.007167,0.007167,0.007167,
clReleaseContext,1,58.6499,58.6499,58.6499,58.6499,
clReleaseDevice,5,0.015278,0.001294,0.0030556,0.005271,
clReleaseKernel,1,3.65174,3.65174,3.65174,3.65174,
clReleaseMemObject,9767,24.6851,0.000721,0.0025274,0.184007,
clReleaseProgram,1,0.004347,0.004347,0.004347,0.004347,
clRetainDevice,5,0.015543,0.001138,0.0031086,0.008209,
clRetainMemObject,2788,7.23626,0.001076,0.0025955,0.045796,
clSetKernelArg,6979,71.5348,0.000661,0.01025,0.079727,

Kernel Execution
Kernel,Number Of Enqueues,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),
GIN_compute_one_graph,1394,1122.73,0.566144,0.805404,2.45355,

Top Kernel Execution
Kernel Instance Address,Kernel,Context ID,Command Queue ID,Device,Start Time (ms),Duration (ms),Global Work Size,Local Work Size,
94296200692880,GIN_compute_one_graph,0,0,xilinx_u50_gen3x16_xdma_201920_3-0,3369.58,2.45355,1:1:1,1:1:1,
94296200692880,GIN_compute_one_graph,0,0,xilinx_u50_gen3x16_xdma_201920_3-0,5588.22,1.06215,1:1:1,1:1:1,
94296200692880,GIN_compute_one_graph,0,0,xilinx_u50_gen3x16_xdma_201920_3-0,6105.01,1.04544,1:1:1,1:1:1,
94296200692880,GIN_compute_one_graph,0,0,xilinx_u50_gen3x16_xdma_201920_3-0,6012.81,1.04233,1:1:1,1:1:1,
94296200692880,GIN_compute_one_graph,0,0,xilinx_u50_gen3x16_xdma_201920_3-0,5949.48,1.03757,1:1:1,1:1:1,
94296200692880,GIN_compute_one_graph,0,0,xilinx_u50_gen3x16_xdma_201920_3-0,6175.49,1.03051,1:1:1,1:1:1,
94296200692880,GIN_compute_one_graph,0,0,xilinx_u50_gen3x16_xdma_201920_3-0,6047.74,1.02913,1:1:1,1:1:1,
94296200692880,GIN_compute_one_graph,0,0,xilinx_u50_gen3x16_xdma_201920_3-0,6132.11,1.01762,1:1:1,1:1:1,
94296200692880,GIN_compute_one_graph,0,0,xilinx_u50_gen3x16_xdma_201920_3-0,6118.82,1.01183,1:1:1,1:1:1,
94296200692880,GIN_compute_one_graph,0,0,xilinx_u50_gen3x16_xdma_201920_3-0,5883.05,1.00616,1:1:1,1:1:1,

Top Memory Writes: Host to Global Memory
Buffer Address,Context ID,Command Queue ID,Start Time (ms),Duration (ms),Buffer Size (KB),Writing Rate(MB/s),
974848,0,0,3694.88,6.32155,17.216,108.832,
917504,0,0,3369.06,0.471351,918.84,433.096,
974848,0,0,7837.65,0.413934,17.216,7.12629,
946176,0,0,3868.54,0.28851,17.216,4.96699,
974848,0,0,4765.48,0.2693,17.216,4.63627,
974848,0,0,5711.01,0.22673,17.216,3.90338,
946176,0,0,5821.07,0.22647,17.216,3.89891,
974848,0,0,5663.14,0.222777,17.216,3.83533,
974848,0,0,5831.32,0.221963,17.216,3.82132,
946176,0,0,5827.9,0.221484,17.216,3.81307,

Top Memory Reads: Host to Global Memory
Buffer Address,Context ID,Command Queue ID,Start Time (ms),Duration (ms),Buffer Size (KB),Reading Rate(MB/s),
974848,0,0,5901.13,0.15743,0.004,0.00062972,
974848,0,0,5853.12,0.151234,0.004,0.000604936,
974848,0,0,5245.38,0.151017,0.004,0.000604068,
974848,0,0,5596.16,0.14924,0.004,0.00059696,
974848,0,0,7930.33,0.148996,0.004,0.000595984,
974848,0,0,5846.26,0.144264,0.004,0.000577056,
974848,0,0,5562.11,0.143537,0.004,0.000574148,
974848,0,0,5225.51,0.142527,0.004,0.000570108,
974848,0,0,5630.52,0.14181,0.004,0.00056724,
974848,0,0,5160.66,0.141186,0.004,0.000564744,



Guidance Parameters
Parameter,Element,Value,
MIGRATE_MEM,host,1394,
PLRAM_DEVICE,all,0,
HBM_DEVICE,all,0,
KDMA_DEVICE,all,0,
P2P_DEVICE,all,0,
P2P_HOST_TRANSFERS,host,0,
OBJECTS_RELEASED,all,1,
CU_CONTEXT_EN,all,0,
TRACE_MEMORY,all,FIFO,
MAX_PARALLEL_KERNEL_ENQUEUES,GIN_compute_one_graph,1,
COMMAND_QUEUE_OOO,94296200696480,0,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|node_feature_in|HBM[0]|1,7200,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|edge_list_in|HBM[0]|1,4000,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|edge_attr_in|HBM[0]|1,6000,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|graph_attr|HBM[0]|1,12,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|task_r|HBM[0]|1,4,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|gnn_node_mlp_1_weights_fixed|HBM[0]|1,400000,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|gnn_node_mlp_1_bias_fixed|HBM[0]|1,4000,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|gnn_node_mlp_2_weights_fixed|HBM[0]|1,400000,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|gnn_node_mlp_2_bias_fixed|HBM[0]|1,2000,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|gnn_node_embedding_fixed|HBM[0]|1,69200,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|gnn_edge_embedding_fixed|HBM[0]|1,26000,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|graph_pred_linear_weight_fixed|HBM[0]|1,400,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|graph_pred_linear_bias_fixed|HBM[0]|1,4,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|eps_fixed|HBM[0]|1,20,
XRT_INI_SETTING,profile,0,
XRT_INI_SETTING,opencl_summary,1,
XRT_INI_SETTING,opencl_device_counter,0,
XRT_INI_SETTING,timeline_trace,1,
XRT_INI_SETTING,opencl_trace,1,
XRT_INI_SETTING,xrt_trace,0,
XRT_INI_SETTING,native_xrt_trace,0,
XRT_INI_SETTING,xrt_profile,0,
XRT_INI_SETTING,data_transfer_trace,off,
XRT_INI_SETTING,power_profile,0,
XRT_INI_SETTING,power_profile_interval_ms,20,
XRT_INI_SETTING,stall_trace,off,
XRT_INI_SETTING,trace_buffer_size,1M,
XRT_INI_SETTING,verbosity,4,
XRT_INI_SETTING,continuous_trace,0,
XRT_INI_SETTING,continuous_trace_interval_ms,10,
XRT_INI_SETTING,trace_buffer_offload_interval_ms,10,
XRT_INI_SETTING,trace_file_dump_interval_s,5,
XRT_INI_SETTING,lop_trace,0,
XRT_INI_SETTING,debug_mode,batch,
XRT_INI_SETTING,aie_trace,0,
XRT_INI_SETTING,aie_trace_buffer_size,8M,
XRT_INI_SETTING,aie_trace_metrics,functions,
XRT_INI_SETTING,aie_profile,0,
XRT_INI_SETTING,aie_profile_interval_us,1000,
XRT_INI_SETTING,aie_profile_core_metrics,heat_map,
XRT_INI_SETTING,aie_profile_memory_metrics,dma_locks,
XRT_INI_SETTING,vitis_ai_profile,0,
XRT_INI_SETTING,sc_profile,0,
BUFFER_RD_ACTIVE_TIME_MS,all,127.284,
BUFFER_WR_ACTIVE_TIME_MS,all,219.719,
BUFFER_TX_ACTIVE_TIME_MS,all,4561.42,
APPLICATION_RUN_TIME_MS,all,8704.16,
TOTAL_KERNEL_RUN_TIME_MS,all,0,
