Profile Summary
Generated on: 2021-12-19 16:26:58
Msec since Epoch: 1639949218922
Profiled application: host
Target platform: Xilinx
Tool version: 2021.1
XRT build version: 2.11.634
Build version branch: 2021.1
Build version hash: 5ad5998d67080f00bca5bf15b3838cf35e0a7b26
Build version date: N/A
Target devices: 
Flow mode: System Run

OpenCL API Calls
API Name,Number Of Calls,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),
clCreateBuffer,6979,178.47,0.010369,0.0255724,1.5302,
clCreateCommandQueue,1,0.009825,0.009825,0.009825,0.009825,
clCreateContext,1,44.5154,44.5154,44.5154,44.5154,
clCreateKernel,1,31.0204,31.0204,31.0204,31.0204,
clCreateProgramWithBinary,1,2661.54,2661.54,2661.54,2661.54,
clEnqueueMigrateMemObjects,1394,9.62622,0.003685,0.00690547,0.03481,
clEnqueueTask,1394,123.82,0.032543,0.0888235,39.5456,
clFinish,1394,1414.6,0.743007,1.01478,3.12211,
clGetDeviceIDs,5,0.069754,0.001062,0.0139508,0.05803,
clGetDeviceInfo,2,16.7109,0.002774,8.35547,16.7082,
clGetExtensionFunctionAddress,2,0.022108,0.00352,0.011054,0.018588,
clGetExtensionFunctionAddressForPlatform,2,0.010687,0.001431,0.0053435,0.009256,
clGetPlatformInfo,6,0.011236,0.000722,0.00187267,0.005524,
clReleaseCommandQueue,1,0.00797,0.00797,0.00797,0.00797,
clReleaseContext,1,40.8697,40.8697,40.8697,40.8697,
clReleaseDevice,5,0.016334,0.001457,0.0032668,0.005877,
clReleaseKernel,1,3.90252,3.90252,3.90252,3.90252,
clReleaseMemObject,9767,19.6051,0.000854,0.00200728,0.1623,
clReleaseProgram,1,0.005529,0.005529,0.005529,0.005529,
clRetainDevice,5,0.015941,0.001109,0.0031882,0.008604,
clRetainMemObject,2788,6.60916,0.000862,0.00237057,0.044301,
clSetKernelArg,6979,53.846,0.000804,0.00771543,0.046727,

Kernel Execution
Kernel,Number Of Enqueues,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),
GIN_compute_one_graph,1394,1086.42,0.57637,0.779357,2.56466,

Top Kernel Execution
Kernel Instance Address,Kernel,Context ID,Command Queue ID,Device,Start Time (ms),Duration (ms),Global Work Size,Local Work Size,
94289364669584,GIN_compute_one_graph,0,0,xilinx_u50_gen3x16_xdma_201920_3-0,3252.09,2.56466,1:1:1,1:1:1,
94289364669584,GIN_compute_one_graph,0,0,xilinx_u50_gen3x16_xdma_201920_3-0,6728.76,1.0469,1:1:1,1:1:1,
94289364669584,GIN_compute_one_graph,0,0,xilinx_u50_gen3x16_xdma_201920_3-0,6752.73,1.03189,1:1:1,1:1:1,
94289364669584,GIN_compute_one_graph,0,0,xilinx_u50_gen3x16_xdma_201920_3-0,6828.56,1.02581,1:1:1,1:1:1,
94289364669584,GIN_compute_one_graph,0,0,xilinx_u50_gen3x16_xdma_201920_3-0,3286.92,1.01494,1:1:1,1:1:1,
94289364669584,GIN_compute_one_graph,0,0,xilinx_u50_gen3x16_xdma_201920_3-0,6831.85,1.00894,1:1:1,1:1:1,
94289364669584,GIN_compute_one_graph,0,0,xilinx_u50_gen3x16_xdma_201920_3-0,3833.05,0.998863,1:1:1,1:1:1,
94289364669584,GIN_compute_one_graph,0,0,xilinx_u50_gen3x16_xdma_201920_3-0,4806.06,0.995579,1:1:1,1:1:1,
94289364669584,GIN_compute_one_graph,0,0,xilinx_u50_gen3x16_xdma_201920_3-0,6363.23,0.995508,1:1:1,1:1:1,
94289364669584,GIN_compute_one_graph,0,0,xilinx_u50_gen3x16_xdma_201920_3-0,6414.44,0.993048,1:1:1,1:1:1,

Top Memory Writes: Host to Global Memory
Buffer Address,Context ID,Command Queue ID,Start Time (ms),Duration (ms),Buffer Size (KB),Writing Rate(MB/s),
917504,0,0,3251.65,0.395166,918.84,363.094,
946176,0,0,4845.21,0.38447,17.216,6.61904,
946176,0,0,3748.42,0.205529,17.216,3.53839,
974848,0,0,3489.81,0.199086,17.216,3.42746,
946176,0,0,3418,0.198562,17.216,3.41844,
974848,0,0,3502.25,0.195453,17.216,3.36492,
974848,0,0,3720.95,0.194953,17.216,3.35631,
946176,0,0,3499.25,0.194833,17.216,3.35424,
974848,0,0,3477.44,0.194646,17.216,3.35103,
974848,0,0,3421.33,0.193533,17.216,3.33186,

Top Memory Reads: Host to Global Memory
Buffer Address,Context ID,Command Queue ID,Start Time (ms),Duration (ms),Buffer Size (KB),Reading Rate(MB/s),
946176,0,0,6116.45,1.45142,0.004,0.0058057,
946176,0,0,4192.36,0.162347,0.004,0.000649388,
974848,0,0,3740.16,0.130086,0.004,0.000520344,
946176,0,0,6461.83,0.129547,0.004,0.000518188,
974848,0,0,3746.35,0.128286,0.004,0.000513144,
974848,0,0,3758.64,0.12791,0.004,0.00051164,
946176,0,0,6504.4,0.127856,0.004,0.000511424,
946176,0,0,6486.13,0.12601,0.004,0.00050404,
946176,0,0,6333.02,0.125676,0.004,0.000502704,
974848,0,0,3727.85,0.125673,0.004,0.000502692,



Guidance Parameters
Parameter,Element,Value,
MIGRATE_MEM,host,1394,
PLRAM_DEVICE,all,0,
HBM_DEVICE,all,0,
KDMA_DEVICE,all,0,
P2P_DEVICE,all,0,
P2P_HOST_TRANSFERS,host,0,
OBJECTS_RELEASED,all,1,
CU_CONTEXT_EN,all,0,
TRACE_MEMORY,all,FIFO,
MAX_PARALLEL_KERNEL_ENQUEUES,GIN_compute_one_graph,1,
COMMAND_QUEUE_OOO,94289364673184,0,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|node_feature_in|HBM[0]|1,7200,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|edge_list_in|HBM[0]|1,4000,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|edge_attr_in|HBM[0]|1,6000,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|graph_attr|HBM[0]|1,12,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|task_r|HBM[0]|1,4,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|gnn_node_mlp_1_weights_fixed|HBM[0]|1,400000,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|gnn_node_mlp_1_bias_fixed|HBM[0]|1,4000,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|gnn_node_mlp_2_weights_fixed|HBM[0]|1,400000,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|gnn_node_mlp_2_bias_fixed|HBM[0]|1,2000,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|gnn_node_embedding_fixed|HBM[0]|1,69200,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|gnn_edge_embedding_fixed|HBM[0]|1,26000,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|graph_pred_linear_weight_fixed|HBM[0]|1,400,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|graph_pred_linear_bias_fixed|HBM[0]|1,4,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|eps_fixed|HBM[0]|1,20,
XRT_INI_SETTING,profile,0,
XRT_INI_SETTING,opencl_summary,1,
XRT_INI_SETTING,opencl_device_counter,0,
XRT_INI_SETTING,timeline_trace,1,
XRT_INI_SETTING,opencl_trace,1,
XRT_INI_SETTING,xrt_trace,0,
XRT_INI_SETTING,native_xrt_trace,0,
XRT_INI_SETTING,xrt_profile,0,
XRT_INI_SETTING,data_transfer_trace,off,
XRT_INI_SETTING,power_profile,0,
XRT_INI_SETTING,power_profile_interval_ms,20,
XRT_INI_SETTING,stall_trace,off,
XRT_INI_SETTING,trace_buffer_size,1M,
XRT_INI_SETTING,verbosity,4,
XRT_INI_SETTING,continuous_trace,0,
XRT_INI_SETTING,continuous_trace_interval_ms,10,
XRT_INI_SETTING,trace_buffer_offload_interval_ms,10,
XRT_INI_SETTING,trace_file_dump_interval_s,5,
XRT_INI_SETTING,lop_trace,0,
XRT_INI_SETTING,debug_mode,batch,
XRT_INI_SETTING,aie_trace,0,
XRT_INI_SETTING,aie_trace_buffer_size,8M,
XRT_INI_SETTING,aie_trace_metrics,functions,
XRT_INI_SETTING,aie_profile,0,
XRT_INI_SETTING,aie_profile_interval_us,1000,
XRT_INI_SETTING,aie_profile_core_metrics,heat_map,
XRT_INI_SETTING,aie_profile_memory_metrics,dma_locks,
XRT_INI_SETTING,vitis_ai_profile,0,
XRT_INI_SETTING,sc_profile,0,
BUFFER_RD_ACTIVE_TIME_MS,all,104.572,
BUFFER_WR_ACTIVE_TIME_MS,all,197.093,
BUFFER_TX_ACTIVE_TIME_MS,all,4166.93,
APPLICATION_RUN_TIME_MS,all,8086.15,
TOTAL_KERNEL_RUN_TIME_MS,all,0,
