Profile Summary
Generated on: 2021-12-19 16:32:04
Msec since Epoch: 1639949524980
Profiled application: host
Target platform: Xilinx
Tool version: 2021.1
XRT build version: 2.11.634
Build version branch: 2021.1
Build version hash: 5ad5998d67080f00bca5bf15b3838cf35e0a7b26
Build version date: N/A
Target devices: 
Flow mode: System Run

OpenCL API Calls
API Name,Number Of Calls,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),
clCreateBuffer,4709,149.704,0.011247,0.0317911,3.45418,
clCreateCommandQueue,1,0.009801,0.009801,0.009801,0.009801,
clCreateContext,1,46,46,46,46,
clCreateKernel,1,32.2098,32.2098,32.2098,32.2098,
clCreateProgramWithBinary,1,274.129,274.129,274.129,274.129,
clEnqueueMigrateMemObjects,940,7.26201,0.003666,0.00772554,0.069343,
clEnqueueTask,940,86.8183,0.03887,0.0923599,21.6498,
clFinish,940,1243.92,0.919663,1.32331,2.66868,
clGetDeviceIDs,5,0.104294,0.002,0.0208588,0.085814,
clGetDeviceInfo,2,18.2644,0.002896,9.1322,18.2615,
clGetExtensionFunctionAddress,2,0.044021,0.006107,0.0220105,0.037914,
clGetExtensionFunctionAddressForPlatform,2,0.017896,0.00249,0.008948,0.015406,
clGetPlatformInfo,6,0.019556,0.00125,0.00325933,0.010874,
clReleaseCommandQueue,1,0.007176,0.007176,0.007176,0.007176,
clReleaseContext,1,51.1958,51.1958,51.1958,51.1958,
clReleaseDevice,5,0.014752,0.00128,0.0029504,0.005584,
clReleaseKernel,1,4.39681,4.39681,4.39681,4.39681,
clReleaseMemObject,6589,14.9756,0.000799,0.00227281,0.07966,
clReleaseProgram,1,0.005284,0.005284,0.005284,0.005284,
clRetainDevice,5,0.016567,0.000973,0.0033134,0.008573,
clRetainMemObject,1880,4.70833,0.000857,0.00250443,0.03434,
clSetKernelArg,4709,50.8662,0.001121,0.0108019,8.44784,

Kernel Execution
Kernel,Number Of Enqueues,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),
GIN_compute_one_graph,940,980.44,0.747152,1.04302,2.51462,

Top Kernel Execution
Kernel Instance Address,Kernel,Context ID,Command Queue ID,Device,Start Time (ms),Duration (ms),Global Work Size,Local Work Size,
94010529797264,GIN_compute_one_graph,0,0,xilinx_u50_gen3x16_xdma_201920_3-0,881.715,2.51462,1:1:1,1:1:1,
94010529797264,GIN_compute_one_graph,0,0,xilinx_u50_gen3x16_xdma_201920_3-0,3766.7,1.29767,1:1:1,1:1:1,
94010529797264,GIN_compute_one_graph,0,0,xilinx_u50_gen3x16_xdma_201920_3-0,1991.14,1.28882,1:1:1,1:1:1,
94010529797264,GIN_compute_one_graph,0,0,xilinx_u50_gen3x16_xdma_201920_3-0,1196.36,1.27348,1:1:1,1:1:1,
94010529797264,GIN_compute_one_graph,0,0,xilinx_u50_gen3x16_xdma_201920_3-0,1217.6,1.26009,1:1:1,1:1:1,
94010529797264,GIN_compute_one_graph,0,0,xilinx_u50_gen3x16_xdma_201920_3-0,4109.64,1.25821,1:1:1,1:1:1,
94010529797264,GIN_compute_one_graph,0,0,xilinx_u50_gen3x16_xdma_201920_3-0,3842.95,1.25711,1:1:1,1:1:1,
94010529797264,GIN_compute_one_graph,0,0,xilinx_u50_gen3x16_xdma_201920_3-0,1280.05,1.25344,1:1:1,1:1:1,
94010529797264,GIN_compute_one_graph,0,0,xilinx_u50_gen3x16_xdma_201920_3-0,1210.64,1.25147,1:1:1,1:1:1,
94010529797264,GIN_compute_one_graph,0,0,xilinx_u50_gen3x16_xdma_201920_3-0,3109.09,1.24955,1:1:1,1:1:1,

Top Memory Writes: Host to Global Memory
Buffer Address,Context ID,Command Queue ID,Start Time (ms),Duration (ms),Buffer Size (KB),Writing Rate(MB/s),
974848,0,0,2408.75,1.25693,17.216,21.6393,
946176,0,0,2135.53,0.609941,17.216,10.5007,
917504,0,0,879.596,0.366074,918.84,336.363,
946176,0,0,1474.96,0.231061,17.216,3.97795,
946176,0,0,2113.95,0.229494,17.216,3.95097,
974848,0,0,2216.37,0.227191,17.216,3.91132,
974848,0,0,1845.11,0.219307,17.216,3.77559,
974848,0,0,1789.56,0.217973,17.216,3.75262,
946176,0,0,2205.65,0.216885,17.216,3.73389,
946176,0,0,3514.67,0.214354,17.216,3.69032,

Top Memory Reads: Host to Global Memory
Buffer Address,Context ID,Command Queue ID,Start Time (ms),Duration (ms),Buffer Size (KB),Reading Rate(MB/s),
974848,0,0,2419.02,0.159644,0.004,0.000638576,
974848,0,0,3540.2,0.148847,0.004,0.000595388,
974848,0,0,3837.13,0.147947,0.004,0.000591788,
974848,0,0,3601.05,0.144451,0.004,0.000577804,
946176,0,0,3633.19,0.141204,0.004,0.000564816,
946176,0,0,3826.53,0.14015,0.004,0.0005606,
974848,0,0,3608.26,0.139427,0.004,0.000557708,
946176,0,0,3639.83,0.137824,0.004,0.000551296,
946176,0,0,3840.56,0.137281,0.004,0.000549124,
946176,0,0,3626.13,0.137264,0.004,0.000549056,



Guidance Parameters
Parameter,Element,Value,
MIGRATE_MEM,host,940,
PLRAM_DEVICE,all,0,
HBM_DEVICE,all,0,
KDMA_DEVICE,all,0,
P2P_DEVICE,all,0,
P2P_HOST_TRANSFERS,host,0,
OBJECTS_RELEASED,all,1,
CU_CONTEXT_EN,all,0,
TRACE_MEMORY,all,FIFO,
MAX_PARALLEL_KERNEL_ENQUEUES,GIN_compute_one_graph,1,
COMMAND_QUEUE_OOO,94010529800864,0,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|node_feature_in|HBM[0]|1,7200,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|edge_list_in|HBM[0]|1,4000,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|edge_attr_in|HBM[0]|1,6000,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|graph_attr|HBM[0]|1,12,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|task_r|HBM[0]|1,4,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|gnn_node_mlp_1_weights_fixed|HBM[0]|1,400000,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|gnn_node_mlp_1_bias_fixed|HBM[0]|1,4000,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|gnn_node_mlp_2_weights_fixed|HBM[0]|1,400000,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|gnn_node_mlp_2_bias_fixed|HBM[0]|1,2000,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|gnn_node_embedding_fixed|HBM[0]|1,69200,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|gnn_edge_embedding_fixed|HBM[0]|1,26000,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|graph_pred_linear_weight_fixed|HBM[0]|1,400,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|graph_pred_linear_bias_fixed|HBM[0]|1,4,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|eps_fixed|HBM[0]|1,20,
XRT_INI_SETTING,profile,0,
XRT_INI_SETTING,opencl_summary,1,
XRT_INI_SETTING,opencl_device_counter,0,
XRT_INI_SETTING,timeline_trace,1,
XRT_INI_SETTING,opencl_trace,1,
XRT_INI_SETTING,xrt_trace,0,
XRT_INI_SETTING,native_xrt_trace,0,
XRT_INI_SETTING,xrt_profile,0,
XRT_INI_SETTING,data_transfer_trace,off,
XRT_INI_SETTING,power_profile,0,
XRT_INI_SETTING,power_profile_interval_ms,20,
XRT_INI_SETTING,stall_trace,off,
XRT_INI_SETTING,trace_buffer_size,1M,
XRT_INI_SETTING,verbosity,4,
XRT_INI_SETTING,continuous_trace,0,
XRT_INI_SETTING,continuous_trace_interval_ms,10,
XRT_INI_SETTING,trace_buffer_offload_interval_ms,10,
XRT_INI_SETTING,trace_file_dump_interval_s,5,
XRT_INI_SETTING,lop_trace,0,
XRT_INI_SETTING,debug_mode,batch,
XRT_INI_SETTING,aie_trace,0,
XRT_INI_SETTING,aie_trace_buffer_size,8M,
XRT_INI_SETTING,aie_trace_metrics,functions,
XRT_INI_SETTING,aie_profile,0,
XRT_INI_SETTING,aie_profile_interval_us,1000,
XRT_INI_SETTING,aie_profile_core_metrics,heat_map,
XRT_INI_SETTING,aie_profile_memory_metrics,dma_locks,
XRT_INI_SETTING,vitis_ai_profile,0,
XRT_INI_SETTING,sc_profile,0,
BUFFER_RD_ACTIVE_TIME_MS,all,78.2767,
BUFFER_WR_ACTIVE_TIME_MS,all,150.17,
BUFFER_TX_ACTIVE_TIME_MS,all,3241.75,
APPLICATION_RUN_TIME_MS,all,4676.52,
TOTAL_KERNEL_RUN_TIME_MS,all,0,
