Profile Summary
Generated on: 2021-12-19 16:32:30
Msec since Epoch: 1639949550020
Profiled application: host
Target platform: Xilinx
Tool version: 2021.1
XRT build version: 2.11.634
Build version branch: 2021.1
Build version hash: 5ad5998d67080f00bca5bf15b3838cf35e0a7b26
Build version date: N/A
Target devices: 
Flow mode: System Run

OpenCL API Calls
API Name,Number Of Calls,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),
clCreateBuffer,44,2.25281,0.009724,0.0512002,0.482719,
clCreateCommandQueue,1,0.008973,0.008973,0.008973,0.008973,
clCreateContext,1,43.3844,43.3844,43.3844,43.3844,
clCreateKernel,1,30.1326,30.1326,30.1326,30.1326,
clCreateProgramWithBinary,1,272.66,272.66,272.66,272.66,
clEnqueueMigrateMemObjects,7,0.041347,0.004257,0.00590671,0.006603,
clEnqueueTask,7,14.2483,0.03677,2.03548,13.8967,
clFinish,7,9.69432,1.10653,1.3849,2.65593,
clGetDeviceIDs,5,0.109297,0.00187,0.0218594,0.09204,
clGetDeviceInfo,2,17.1512,0.003047,8.57562,17.1482,
clGetExtensionFunctionAddress,2,0.045456,0.005723,0.022728,0.039733,
clGetExtensionFunctionAddressForPlatform,2,0.017984,0.002437,0.008992,0.015547,
clGetPlatformInfo,6,0.015493,0.001233,0.00258217,0.006667,
clReleaseCommandQueue,1,0.006653,0.006653,0.006653,0.006653,
clReleaseContext,1,66.2277,66.2277,66.2277,66.2277,
clReleaseDevice,5,0.013274,0.001245,0.0026548,0.00492,
clReleaseKernel,1,3.25735,3.25735,3.25735,3.25735,
clReleaseMemObject,58,0.111633,0.000716,0.00192471,0.00641,
clReleaseProgram,1,0.004885,0.004885,0.004885,0.004885,
clRetainDevice,5,0.015951,0.001331,0.0031902,0.008376,
clRetainMemObject,14,0.032734,0.000725,0.00233814,0.004778,
clSetKernelArg,44,0.27422,0.000771,0.00623227,0.016193,

Kernel Execution
Kernel,Number Of Enqueues,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),
GIN_compute_one_graph,7,7.8377,0.789712,1.11967,2.54745,

Top Kernel Execution
Kernel Instance Address,Kernel,Context ID,Command Queue ID,Device,Start Time (ms),Duration (ms),Global Work Size,Local Work Size,
94468632970384,GIN_compute_one_graph,0,0,xilinx_u50_gen3x16_xdma_201920_3-0,849.017,2.54745,1:1:1,1:1:1,
94468632970384,GIN_compute_one_graph,0,0,xilinx_u50_gen3x16_xdma_201920_3-0,863.659,1.00315,1:1:1,1:1:1,
94468632970384,GIN_compute_one_graph,0,0,xilinx_u50_gen3x16_xdma_201920_3-0,869.913,0.912812,1:1:1,1:1:1,
94468632970384,GIN_compute_one_graph,0,0,xilinx_u50_gen3x16_xdma_201920_3-0,857.189,0.880819,1:1:1,1:1:1,
94468632970384,GIN_compute_one_graph,0,0,xilinx_u50_gen3x16_xdma_201920_3-0,866.718,0.863835,1:1:1,1:1:1,
94468632970384,GIN_compute_one_graph,0,0,xilinx_u50_gen3x16_xdma_201920_3-0,854.066,0.839918,1:1:1,1:1:1,
94468632970384,GIN_compute_one_graph,0,0,xilinx_u50_gen3x16_xdma_201920_3-0,860.537,0.789712,1:1:1,1:1:1,

Top Memory Writes: Host to Global Memory
Buffer Address,Context ID,Command Queue ID,Start Time (ms),Duration (ms),Buffer Size (KB),Writing Rate(MB/s),
917504,0,0,848.481,0.421038,918.84,386.867,
974848,0,0,866.52,0.178757,17.216,3.07748,
946176,0,0,863.474,0.1661,17.216,2.85958,
946176,0,0,869.728,0.16453,17.216,2.83255,
974848,0,0,860.39,0.127276,17.216,2.19118,
974848,0,0,853.913,0.113247,17.216,1.94966,
946176,0,0,857.064,0.09359,17.216,1.61125,

Top Memory Reads: Host to Global Memory
Buffer Address,Context ID,Command Queue ID,Start Time (ms),Duration (ms),Buffer Size (KB),Reading Rate(MB/s),
946176,0,0,870.897,0.081793,0.004,0.000327172,
946176,0,0,851.66,0.061341,0.004,0.000245364,
946176,0,0,858.143,0.060953,0.004,0.000243812,
974848,0,0,861.371,0.05926,0.004,0.00023704,
974848,0,0,867.636,0.051656,0.004,0.000206624,
946176,0,0,864.733,0.051014,0.004,0.000204056,
974848,0,0,854.977,0.05044,0.004,0.00020176,



Guidance Parameters
Parameter,Element,Value,
MIGRATE_MEM,host,7,
PLRAM_DEVICE,all,0,
HBM_DEVICE,all,0,
KDMA_DEVICE,all,0,
P2P_DEVICE,all,0,
P2P_HOST_TRANSFERS,host,0,
OBJECTS_RELEASED,all,1,
CU_CONTEXT_EN,all,0,
TRACE_MEMORY,all,FIFO,
MAX_PARALLEL_KERNEL_ENQUEUES,GIN_compute_one_graph,1,
COMMAND_QUEUE_OOO,94468632973984,0,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|node_feature_in|HBM[0]|1,7200,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|edge_list_in|HBM[0]|1,4000,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|edge_attr_in|HBM[0]|1,6000,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|graph_attr|HBM[0]|1,12,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|task_r|HBM[0]|1,4,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|gnn_node_mlp_1_weights_fixed|HBM[0]|1,400000,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|gnn_node_mlp_1_bias_fixed|HBM[0]|1,4000,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|gnn_node_mlp_2_weights_fixed|HBM[0]|1,400000,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|gnn_node_mlp_2_bias_fixed|HBM[0]|1,2000,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|gnn_node_embedding_fixed|HBM[0]|1,69200,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|gnn_edge_embedding_fixed|HBM[0]|1,26000,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|graph_pred_linear_weight_fixed|HBM[0]|1,400,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|graph_pred_linear_bias_fixed|HBM[0]|1,4,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|eps_fixed|HBM[0]|1,20,
XRT_INI_SETTING,profile,0,
XRT_INI_SETTING,opencl_summary,1,
XRT_INI_SETTING,opencl_device_counter,0,
XRT_INI_SETTING,timeline_trace,1,
XRT_INI_SETTING,opencl_trace,1,
XRT_INI_SETTING,xrt_trace,0,
XRT_INI_SETTING,native_xrt_trace,0,
XRT_INI_SETTING,xrt_profile,0,
XRT_INI_SETTING,data_transfer_trace,off,
XRT_INI_SETTING,power_profile,0,
XRT_INI_SETTING,power_profile_interval_ms,20,
XRT_INI_SETTING,stall_trace,off,
XRT_INI_SETTING,trace_buffer_size,1M,
XRT_INI_SETTING,verbosity,4,
XRT_INI_SETTING,continuous_trace,0,
XRT_INI_SETTING,continuous_trace_interval_ms,10,
XRT_INI_SETTING,trace_buffer_offload_interval_ms,10,
XRT_INI_SETTING,trace_file_dump_interval_s,5,
XRT_INI_SETTING,lop_trace,0,
XRT_INI_SETTING,debug_mode,batch,
XRT_INI_SETTING,aie_trace,0,
XRT_INI_SETTING,aie_trace_buffer_size,8M,
XRT_INI_SETTING,aie_trace_metrics,functions,
XRT_INI_SETTING,aie_profile,0,
XRT_INI_SETTING,aie_profile_interval_us,1000,
XRT_INI_SETTING,aie_profile_core_metrics,heat_map,
XRT_INI_SETTING,aie_profile_memory_metrics,dma_locks,
XRT_INI_SETTING,vitis_ai_profile,0,
XRT_INI_SETTING,sc_profile,0,
BUFFER_RD_ACTIVE_TIME_MS,all,0.416457,
BUFFER_WR_ACTIVE_TIME_MS,all,1.26454,
BUFFER_TX_ACTIVE_TIME_MS,all,22.4978,
APPLICATION_RUN_TIME_MS,all,916.988,
TOTAL_KERNEL_RUN_TIME_MS,all,0,
