Profile Summary
Generated on: 2021-12-19 16:35:25
Msec since Epoch: 1639949725742
Profiled application: host
Target platform: Xilinx
Tool version: 2021.1
XRT build version: 2.11.634
Build version branch: 2021.1
Build version hash: 5ad5998d67080f00bca5bf15b3838cf35e0a7b26
Build version date: N/A
Target devices: 
Flow mode: System Run

OpenCL API Calls
API Name,Number Of Calls,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),
clCreateBuffer,5799,182.722,0.011236,0.0315093,2.41513,
clCreateCommandQueue,1,0.011346,0.011346,0.011346,0.011346,
clCreateContext,1,46.0324,46.0324,46.0324,46.0324,
clCreateKernel,1,25.58,25.58,25.58,25.58,
clCreateProgramWithBinary,1,265.127,265.127,265.127,265.127,
clEnqueueMigrateMemObjects,1158,8.56631,0.004045,0.00739751,0.039813,
clEnqueueTask,1158,100.568,0.037989,0.086846,23.3101,
clFinish,1158,1928.17,1.21673,1.66509,3.20773,
clGetDeviceIDs,5,0.085008,0.001069,0.0170016,0.071335,
clGetDeviceInfo,2,16.1736,0.003145,8.08681,16.1705,
clGetExtensionFunctionAddress,2,0.062921,0.021375,0.0314605,0.041546,
clGetExtensionFunctionAddressForPlatform,2,0.034042,0.01582,0.017021,0.018222,
clGetPlatformInfo,6,0.017732,0.000728,0.00295533,0.011863,
clReleaseCommandQueue,1,0.006584,0.006584,0.006584,0.006584,
clReleaseContext,1,50.2084,50.2084,50.2084,50.2084,
clReleaseDevice,5,0.013462,0.001083,0.0026924,0.005104,
clReleaseKernel,1,3.49777,3.49777,3.49777,3.49777,
clReleaseMemObject,8115,18.0964,0.00082,0.00223,0.247364,
clReleaseProgram,1,0.004821,0.004821,0.004821,0.004821,
clRetainDevice,5,0.017307,0.001076,0.0034614,0.009114,
clRetainMemObject,2316,5.63841,0.000935,0.00243455,0.067377,
clSetKernelArg,5799,52.4346,0.000794,0.00904201,0.167651,

Kernel Execution
Kernel,Number Of Enqueues,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),
GIN_compute_one_graph,1158,1583.85,1.00602,1.36775,3.11054,

Top Kernel Execution
Kernel Instance Address,Kernel,Context ID,Command Queue ID,Device,Start Time (ms),Duration (ms),Global Work Size,Local Work Size,
94422146831504,GIN_compute_one_graph,0,0,xilinx_u50_gen3x16_xdma_201920_3-0,839.784,3.11054,1:1:1,1:1:1,
94422146831504,GIN_compute_one_graph,0,0,xilinx_u50_gen3x16_xdma_201920_3-0,2298.19,1.75046,1:1:1,1:1:1,
94422146831504,GIN_compute_one_graph,0,0,xilinx_u50_gen3x16_xdma_201920_3-0,2380.35,1.74479,1:1:1,1:1:1,
94422146831504,GIN_compute_one_graph,0,0,xilinx_u50_gen3x16_xdma_201920_3-0,3616.98,1.73739,1:1:1,1:1:1,
94422146831504,GIN_compute_one_graph,0,0,xilinx_u50_gen3x16_xdma_201920_3-0,2306.29,1.73541,1:1:1,1:1:1,
94422146831504,GIN_compute_one_graph,0,0,xilinx_u50_gen3x16_xdma_201920_3-0,3659.26,1.72782,1:1:1,1:1:1,
94422146831504,GIN_compute_one_graph,0,0,xilinx_u50_gen3x16_xdma_201920_3-0,3430.99,1.72583,1:1:1,1:1:1,
94422146831504,GIN_compute_one_graph,0,0,xilinx_u50_gen3x16_xdma_201920_3-0,2663.65,1.72191,1:1:1,1:1:1,
94422146831504,GIN_compute_one_graph,0,0,xilinx_u50_gen3x16_xdma_201920_3-0,3450.11,1.71561,1:1:1,1:1:1,
94422146831504,GIN_compute_one_graph,0,0,xilinx_u50_gen3x16_xdma_201920_3-0,1260.11,1.7138,1:1:1,1:1:1,

Top Memory Writes: Host to Global Memory
Buffer Address,Context ID,Command Queue ID,Start Time (ms),Duration (ms),Buffer Size (KB),Writing Rate(MB/s),
917504,0,0,838.974,0.421877,918.84,387.637,
974848,0,0,1063.04,0.29626,17.216,5.10041,
946176,0,0,1562.7,0.27699,17.216,4.76866,
974848,0,0,2455.17,0.249007,17.216,4.2869,
946176,0,0,2292.32,0.23323,17.216,4.01529,
946176,0,0,3139.11,0.227924,17.216,3.92394,
946176,0,0,3369.55,0.221794,17.216,3.81841,
974848,0,0,2280.1,0.220364,17.216,3.79379,
946176,0,0,3291.8,0.21884,17.216,3.76755,
974848,0,0,2345.1,0.217744,17.216,3.74868,

Top Memory Reads: Host to Global Memory
Buffer Address,Context ID,Command Queue ID,Start Time (ms),Duration (ms),Buffer Size (KB),Reading Rate(MB/s),
974848,0,0,4485.04,0.153754,0.004,0.000615016,
974848,0,0,3975.31,0.153263,0.004,0.000613052,
974848,0,0,3968,0.152647,0.004,0.000610588,
974848,0,0,3944.75,0.144163,0.004,0.000576652,
974848,0,0,2011.85,0.142701,0.004,0.000570804,
974848,0,0,2027.31,0.142526,0.004,0.000570104,
974848,0,0,3960.24,0.141277,0.004,0.000565108,
946176,0,0,5003.65,0.141223,0.004,0.000564892,
946176,0,0,2406.5,0.140684,0.004,0.000562736,
946176,0,0,2358.62,0.140444,0.004,0.000561776,



Guidance Parameters
Parameter,Element,Value,
MIGRATE_MEM,host,1158,
PLRAM_DEVICE,all,0,
HBM_DEVICE,all,0,
KDMA_DEVICE,all,0,
P2P_DEVICE,all,0,
P2P_HOST_TRANSFERS,host,0,
OBJECTS_RELEASED,all,1,
CU_CONTEXT_EN,all,0,
TRACE_MEMORY,all,FIFO,
MAX_PARALLEL_KERNEL_ENQUEUES,GIN_compute_one_graph,1,
COMMAND_QUEUE_OOO,94422146835104,0,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|node_feature_in|HBM[0]|1,7200,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|edge_list_in|HBM[0]|1,4000,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|edge_attr_in|HBM[0]|1,6000,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|graph_attr|HBM[0]|1,12,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|task_r|HBM[0]|1,4,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|gnn_node_mlp_1_weights_fixed|HBM[0]|1,400000,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|gnn_node_mlp_1_bias_fixed|HBM[0]|1,4000,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|gnn_node_mlp_2_weights_fixed|HBM[0]|1,400000,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|gnn_node_mlp_2_bias_fixed|HBM[0]|1,2000,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|gnn_node_embedding_fixed|HBM[0]|1,69200,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|gnn_edge_embedding_fixed|HBM[0]|1,26000,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|graph_pred_linear_weight_fixed|HBM[0]|1,400,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|graph_pred_linear_bias_fixed|HBM[0]|1,4,
KERNEL_BUFFER_INFO,GIN_compute_one_graph|eps_fixed|HBM[0]|1,20,
XRT_INI_SETTING,profile,0,
XRT_INI_SETTING,opencl_summary,1,
XRT_INI_SETTING,opencl_device_counter,0,
XRT_INI_SETTING,timeline_trace,1,
XRT_INI_SETTING,opencl_trace,1,
XRT_INI_SETTING,xrt_trace,0,
XRT_INI_SETTING,native_xrt_trace,0,
XRT_INI_SETTING,xrt_profile,0,
XRT_INI_SETTING,data_transfer_trace,off,
XRT_INI_SETTING,power_profile,0,
XRT_INI_SETTING,power_profile_interval_ms,20,
XRT_INI_SETTING,stall_trace,off,
XRT_INI_SETTING,trace_buffer_size,1M,
XRT_INI_SETTING,verbosity,4,
XRT_INI_SETTING,continuous_trace,0,
XRT_INI_SETTING,continuous_trace_interval_ms,10,
XRT_INI_SETTING,trace_buffer_offload_interval_ms,10,
XRT_INI_SETTING,trace_file_dump_interval_s,5,
XRT_INI_SETTING,lop_trace,0,
XRT_INI_SETTING,debug_mode,batch,
XRT_INI_SETTING,aie_trace,0,
XRT_INI_SETTING,aie_trace_buffer_size,8M,
XRT_INI_SETTING,aie_trace_metrics,functions,
XRT_INI_SETTING,aie_profile,0,
XRT_INI_SETTING,aie_profile_interval_us,1000,
XRT_INI_SETTING,aie_profile_core_metrics,heat_map,
XRT_INI_SETTING,aie_profile_memory_metrics,dma_locks,
XRT_INI_SETTING,vitis_ai_profile,0,
XRT_INI_SETTING,sc_profile,0,
BUFFER_RD_ACTIVE_TIME_MS,all,97.1413,
BUFFER_WR_ACTIVE_TIME_MS,all,184.61,
BUFFER_TX_ACTIVE_TIME_MS,all,4382.73,
APPLICATION_RUN_TIME_MS,all,5806.35,
TOTAL_KERNEL_RUN_TIME_MS,all,0,
